Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7835866	0.5200851	2.390259	0.18042873	500.0	0.08718996	0.01239346	0.15755787	-0.002521515	16000	-1.4901161e-08	0.017537078	-0.0053855604	-0.006466492	1.3475134	0.0051410566	0.053437497	127.0	30.67466974258423	0.0	0.0	0.0	0.0	0.0
1	1.1264247	1.2378832	6.8864646	0.13121575	500.0	0.1757921	0.03268753	0.25401458	0.05714895	32000	1.4901161e-08	0.071716614	-0.005045819	-0.016399179	1.3475134	0.0056745717	0.06	127.0	55.66918659210205	0.0	0.0	0.0	0.0	0.0
2	1.6742952	1.3180109	5.9585047	0.19580948	500.0	0.29394466	0.08064307	0.51322496	0.04601705	48000	1.4901161e-08	0.08634947	-0.0058000833	-0.028532803	1.3475134	0.0066051274	0.0679375	127.0	79.64136910438538	0.0	0.0	0.0	0.0	0.0
3	5.1060047	2.7914524	11.016102	0.961103	500.0	0.49865592	0.19321752	0.9606466	-0.07532458	64000	2.6077032e-08	0.8670021	-0.005672301	-0.49633026	1.3475134	0.0043472936	0.042499997	127.0	105.26760530471802	0.0	0.0	0.0	0.0	0.0
4	7.3816814	4.890989	18.739471	0.9146842	500.0	1.2362659	0.49532932	2.3282518	-0.21266761	80000	1.8626451e-08	1.4929068	-0.0052295057	-0.64301145	1.3475134	0.0068743424	0.0604375	127.0	131.68505883216858	0.0	0.0	0.0	0.0	0.0
5	13.313007	6.230529	26.075878	2.6961644	500.0	2.0902994	0.9928347	4.0035305	-0.6480061	96000	-5.5879354e-08	3.2799268	-0.007469125	-1.5417854	1.3475134	0.0065487265	0.0815	127.0	158.06055283546448	0.0	0.0	0.0	0.0	0.0
6	16.584772	3.6786945	26.781914	9.940849	500.0	3.6541917	1.6053661	6.0459285	-0.6793623	112000	2.2351742e-08	1.6796923	-0.0072237	-0.5710577	1.3475134	0.0054594465	0.077250004	127.0	186.07074236869812	0.0	0.0	0.0	0.0	0.0
7	16.986877	5.5954185	31.465178	3.812253	500.0	4.6044846	1.9524504	7.109304	-0.6621938	128000	-3.7252903e-09	2.1269855	-0.0068906164	-0.14431834	1.3475134	0.0055077197	0.0551875	127.0	211.76193261146545	0.0	0.0	0.0	0.0	0.0
8	19.690722	4.6675277	30.449377	9.326099	500.0	4.657836	1.8155178	6.9239817	-0.2701875	144000	1.6763806e-08	2.0586066	-0.007753482	-0.21487269	1.3475134	0.007512521	0.071375	127.0	238.44386219978333	0.0	0.0	0.0	0.0	0.0
9	21.116074	5.7062106	34.865726	11.5408325	500.0	5.2291803	1.8483468	7.1686954	-0.0279717	160000	0.0	2.6030605	-0.0061028353	-0.18658836	1.3475134	0.006008851	0.0470625	127.0	267.1865406036377	0.0	0.0	0.0	0.0	0.0
10	23.623104	5.3480644	38.576046	16.977924	500.0	5.4700933	1.5744003	7.0626264	0.36873418	176000	1.4901161e-08	2.6157413	-0.006377601	-0.15539232	1.3475134	0.005744346	0.044999998	127.0	292.6981017589569	0.0	0.0	0.0	0.0	0.0
11	23.343628	7.7919564	40.60634	12.282117	500.0	5.8433075	1.4856353	7.2326202	0.84624493	192000	3.7252903e-08	3.7247243	-0.0058673965	-0.20144698	1.3475134	0.004404246	0.036875	127.0	321.75251293182373	0.0	0.03125	0.0	0.0	0.0
12	25.243614	6.61617	44.040768	16.353472	500.0	5.63396	1.2135036	6.853578	1.6129332	208000	7.450581e-09	3.078599	-0.0063843294	-0.19217144	1.3475134	0.00489435	0.051	127.0	349.6111943721771	0.0	0.0	0.0	0.0	0.0
13	28.838203	6.402895	39.857605	17.843857	500.0	6.001637	1.3571924	7.268098	1.21879	224000	-1.1175871e-08	3.6318994	-0.0071219113	-0.57168245	1.3475134	0.0059521003	0.06025	127.0	376.45950722694397	0.0	0.0	0.0	0.0	0.0
14	28.636805	7.861372	42.97718	14.11104	500.0	6.6996145	1.5230609	8.04827	1.0930504	240000	-3.7252903e-09	3.5524282	-0.0059538097	-0.1505097	1.3475134	0.004799059	0.047937497	127.0	405.3274610042572	0.0	0.03125	0.0	0.0	0.0
15	28.789904	6.5493417	40.865784	16.776447	500.0	6.835548	1.6020428	8.463271	1.1973294	256000	0.0	2.6600633	-0.0061720563	-0.14973831	1.3475134	0.0064208377	0.05325	127.0	432.68112802505493	0.0	0.0	0.0	0.0	0.0
16	27.885078	5.797088	41.79396	17.2504	500.0	6.824664	1.5354353	8.828154	1.2490374	272000	7.450581e-09	1.943799	-0.0064533	-0.2198481	1.3475134	0.0071315127	0.0520625	127.0	458.7766082286835	0.0	0.0	0.0	0.0	0.0
17	30.76613	6.102263	40.79688	17.332096	500.0	6.8610787	1.537798	9.260591	1.6269338	288000	7.450581e-09	2.532638	-0.007729128	-0.35245857	1.3475134	0.007734177	0.067	127.0	485.54953503608704	0.0	0.0	0.0	0.0	0.0
18	29.368776	6.3786426	46.15774	19.186792	500.0	7.24832	1.8052479	10.039027	1.3350142	304000	3.1664968e-08	2.6071248	-0.0075321067	-0.29157373	1.3475134	0.007460081	0.0598125	127.0	511.4892659187317	0.0	0.0625	0.0	0.0	0.0
19	30.09744	4.7688	40.82832	20.268969	500.0	6.988472	1.5795075	9.906188	1.6597612	320000	7.450581e-09	1.3514559	-0.006678582	-0.09782232	1.3475134	0.007013333	0.054250002	127.0	540.361093044281	0.0	0.0	0.0	0.0	0.0
