Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.32086635	0.18549061	0.90676963	0.0863933	500.0	0.12356167	0.03124365	0.15296443	0.024000064	16000	2.2351742e-08	0.004301231	-0.0077470997	-0.0029463472	1.3475134	0.0053097717	0.0625625	127.0	28.387061834335327	0.0	0.0	0.0	0.0	0.0
1	0.44940287	0.3171252	1.8602356	0.1372469	500.0	0.09917508	0.029967252	0.18969592	-0.019297495	32000	1.4901161e-08	0.00500871	-0.006894752	-0.0017960201	1.3475134	0.006849913	0.0865625	127.0	50.611934185028076	0.0	0.0	0.0	0.0	0.0
2	0.7999201	0.5145783	2.417677	0.13898905	500.0	0.14540811	0.0508929	0.27318376	-0.041292116	48000	-1.4901161e-08	0.015814975	-0.0064037517	-0.007323323	1.3475134	0.0070502865	0.0884375	127.0	72.52017903327942	0.0	0.0	0.0	0.0	0.0
3	2.4711032	1.1731111	4.5888004	0.40948647	500.0	0.26624274	0.11095799	0.5292096	-0.08784715	64000	-3.7252903e-09	0.18711033	-0.0055261916	-0.11661988	1.3475134	0.005723495	0.062562495	127.0	94.69879484176636	0.0	0.0	0.0	0.0	0.0
4	3.2217999	2.3037207	9.122849	0.7944232	500.0	0.6154764	0.2822781	1.2915174	-0.16845268	80000	3.3527613e-08	0.33414888	-0.006301078	-0.12433783	1.3475134	0.008332789	0.0948125	127.0	118.38165497779846	0.0	0.0	0.0	0.0	0.0
5	4.8467984	3.9142256	16.282503	1.1249988	500.0	0.9775148	0.54516923	2.2684884	-0.32923537	96000	-1.4901161e-08	0.736781	-0.0052449806	-0.24376799	1.3475134	0.0058001745	0.0769375	127.0	139.93189096450806	0.0	0.0	0.0	0.0	0.0
6	10.238232	5.7705765	25.162523	2.0219214	500.0	1.7591548	1.0886452	4.1620026	-0.58077157	112000	-3.7252903e-09	2.2431364	-0.006886675	-0.8779553	1.3475134	0.007541508	0.0821875	127.0	165.24489402770996	0.0	0.0	0.0	0.0	0.0
7	10.312222	5.0003757	23.574152	0.54006666	500.0	3.0675902	1.6554995	6.074572	-0.8574385	128000	9.313226e-09	1.3350486	-0.007767577	-0.16602129	1.3475134	0.006329654	0.0574375	127.0	191.25439047813416	0.0	0.0	0.0	0.0	0.0
8	12.357267	4.468768	19.312647	1.2156352	500.0	3.2912235	1.6486295	5.7912784	-0.6740656	144000	0.0	1.3333204	-0.0076967143	-0.22530992	1.3475134	0.006816454	0.072125	127.0	218.74516654014587	0.0	0.0	0.0	0.0	0.0
9	14.37015	5.418434	32.211693	3.986811	500.0	3.6016874	1.6094047	5.9106507	-0.2159441	160000	1.9557774e-08	1.8783779	-0.007510383	-0.23419781	1.3475134	0.0069876458	0.072625004	127.0	245.37615251541138	0.0	0.0	0.0	0.0	0.0
