Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13148834	0.06744476	0.28934696	0.027649025	500.0	0.05096466	0.018217536	0.12925185	0.0020535067	16000	-4.284084e-08	0.0010275696	-0.0074463696	-0.0007203693	1.3564423	0.0060849357	0.060500003	127.0	18.85489583015442	0.0	0.0	0.0	0.0	0.0
1	0.1718616	0.08350639	0.36292854	0.037569772	500.0	0.033940505	0.013818985	0.095193684	-0.0013719164	32000	0.0	0.00048143038	-0.007874383	-0.00021619094	1.3564423	0.008608914	0.087375	127.0	36.51399207115173	0.0	0.0	0.0	0.0	0.0
2	0.2766192	0.11316525	0.53355914	0.05923002	500.0	0.044050917	0.011120869	0.10299698	-0.005238522	48000	1.1175871e-08	0.0007878506	-0.009744127	-0.00043582736	1.3564423	0.008175451	0.088625	127.0	55.485777378082275	0.0	0.0	0.0	0.0	0.0
3	0.3772487	0.12790245	0.67326427	0.15386358	500.0	0.0645383	0.017591292	0.11189098	0.0058805346	64000	7.450581e-09	0.0008593659	-0.0102194445	-0.00034220528	1.3564423	0.008134406	0.092	127.0	74.05445122718811	0.0	0.0	0.0	0.0	0.0
4	0.57995564	0.17692065	1.1092497	0.32881483	500.0	0.10218124	0.019727083	0.15662234	0.042028755	80000	-2.2351742e-08	0.0030801864	-0.010469174	-0.0013124361	1.3564423	0.008821799	0.095625	127.0	93.31490659713745	0.0	0.0	0.0	0.0	0.0
5	0.83569247	0.32618698	1.9393725	0.39043182	500.0	0.12479584	0.027878536	0.19496179	0.027425352	96000	-1.3038516e-08	0.006146406	-0.008888769	-0.0022154232	1.3564423	0.0067158984	0.084125	127.0	111.853515625	0.0	0.0	0.0	0.0	0.0
6	1.4545381	0.62711763	3.24334	0.5279726	500.0	0.18975115	0.039153017	0.31612128	0.067955986	112000	-2.9802322e-08	0.03117863	-0.009000267	-0.013783847	1.3564423	0.007664721	0.0820625	127.0	130.59096360206604	0.0	0.0	0.0	0.0	0.0
7	1.9896587	0.9831515	4.0376267	0.508966	500.0	0.31487072	0.08323761	0.6642952	0.116264924	128000	-7.450581e-09	0.077378444	-0.008093055	-0.04273625	1.3564423	0.0068960716	0.0814375	127.0	148.20412373542786	0.0	0.0	0.0	0.0	0.0
8	3.2893152	2.1397915	10.155366	0.39128208	500.0	0.52241343	0.24621142	1.2544814	0.06772701	144000	-2.2351742e-08	0.30074012	-0.0063527916	-0.15312958	1.3564423	0.005788629	0.0685625	127.0	166.2565052509308	0.0	0.0	0.0	0.0	0.0
9	5.399193	2.6774068	13.192226	1.860239	500.0	1.0080367	0.58143526	2.5796943	0.0066111647	160000	2.9802322e-08	0.5300361	-0.00842814	-0.21771576	1.3564423	0.008789371	0.1001875	127.0	185.10750818252563	0.0	0.0	0.0	0.0	0.0
10	8.7147045	5.0919256	19.797386	1.2659111	500.0	1.6903794	0.99083513	3.7905722	0.020938147	176000	-3.7252903e-08	1.4842436	-0.0085481545	-0.67919874	1.3564423	0.0077475	0.091	127.0	204.39522099494934	0.0	0.0	0.0	0.0	0.0
11	13.075001	5.487785	25.013618	1.5313702	500.0	2.7395813	1.2791901	5.179624	-0.16745347	192000	-1.8626451e-08	1.9183737	-0.008580155	-0.59621394	1.3564423	0.0058265864	0.082499996	127.0	222.89678382873535	0.0	0.0	0.0	0.0	0.0
12	15.092073	6.6491075	29.952429	2.0745885	500.0	3.5624897	1.6673743	6.179884	-0.11603549	208000	1.4901161e-08	2.0271745	-0.0075707887	-0.28850052	1.3564423	0.005920021	0.06825	127.0	242.13237977027893	0.0	0.0	0.0	0.0	0.0
13	19.79689	6.0660405	31.490032	7.0712647	500.0	4.4351053	1.6214625	6.813331	0.30683726	224000	3.7252903e-09	2.161051	-0.0076895375	-0.9053533	1.3564423	0.0060550803	0.0670625	127.0	261.30557680130005	0.0	0.0	0.0	0.0	0.0
14	20.001461	7.401944	33.02364	6.492352	500.0	5.42445	2.2587981	8.669607	0.060563408	240000	5.5879354e-09	3.1190763	-0.009355141	-0.7582207	1.3564423	0.0078317085	0.075937495	127.0	281.2363979816437	0.0	0.0	0.0	0.0	0.0
15	25.158724	8.100742	42.512634	12.585213	500.0	5.6901793	2.0797582	8.743756	0.5664107	256000	-7.450581e-09	3.4413395	-0.007934652	-0.97185755	1.3564423	0.006030822	0.0670625	127.0	299.87614345550537	0.0	0.0	0.0	0.0	0.0
16	27.901535	8.017573	42.911842	15.585743	500.0	6.6278415	2.163288	9.766041	0.9034674	272000	-1.4901161e-08	3.4923067	-0.008448595	-0.35190576	1.3564423	0.0062617064	0.0660625	127.0	318.9682939052582	0.0	0.0625	0.0	0.0	0.0
17	27.683008	7.1084743	44.476204	15.721157	500.0	7.0693502	2.3214464	10.4690485	0.40061197	288000	-3.7252903e-09	4.175864	-0.009153102	-0.61308265	1.3564423	0.0066698985	0.06825	127.0	339.3376655578613	0.0	0.0	0.0	0.0	0.0
18	25.519203	7.883146	43.443073	12.784388	500.0	6.750307	1.8042951	9.980571	0.4002575	304000	2.2351742e-08	4.6878123	-0.00919828	-1.0891733	1.3564423	0.0068712207	0.062375	127.0	358.24625730514526	0.0	0.0	0.0	0.0	0.0
19	28.460207	9.407532	45.67125	14.967095	500.0	6.106848	1.5240507	8.8678	1.1594865	320000	-1.4901161e-08	3.6812701	-0.0083203595	-0.89674735	1.3564423	0.0052558566	0.057375	127.0	378.6245484352112	0.0	0.03125	0.0	0.0	0.0
20	30.659258	8.557887	45.319412	16.724604	500.0	6.7092414	1.6656759	9.405479	1.1815728	336000	-1.8626451e-08	3.7762887	-0.009737126	-0.6205826	1.3564423	0.005835686	0.066125005	127.0	398.2279906272888	0.0	0.0	0.0	0.0	0.0
21	32.438118	10.060413	49.179626	17.439463	500.0	7.1259727	2.2424748	10.354411	-1.853691	352000	1.8626451e-08	4.1619854	-0.007940077	-0.75318265	1.3564423	0.0067394674	0.0575625	127.0	418.8219587802887	0.0	0.0	0.0	0.0	0.0
22	29.43689	9.230659	45.742176	15.347462	500.0	7.4920096	2.200028	11.102285	0.6073418	368000	5.5879354e-09	4.0937047	-0.0076377327	-1.1724334	1.3564423	0.0051363693	0.055187497	127.0	439.05591225624084	0.0	0.0625	0.0	0.0	0.0
23	28.868965	8.742999	46.843674	16.014305	500.0	6.7457304	2.1287081	10.87194	0.7439622	384000	-7.450581e-09	3.8107429	-0.009412928	-0.9948957	1.3564423	0.004749247	0.079187505	127.0	458.2011864185333	0.0	0.0	0.0	0.0	0.0
24	31.510118	11.534614	51.690056	13.674084	500.0	6.790071	1.9156039	10.498156	1.2693727	400000	-1.3038516e-08	3.6330395	-0.008903887	-1.0405481	1.3564423	0.00513648	0.06125	127.0	477.9248540401459	0.0	0.0625	0.0	0.0	0.0
25	33.84414	11.3422365	50.52706	14.196288	500.0	7.5408096	2.4854455	11.389539	1.0462896	416000	7.450581e-09	3.3719122	-0.008692149	-0.6645445	1.3564423	0.006795899	0.062	127.0	497.7598674297333	0.0	0.0	0.0	0.0	0.0
26	36.336403	8.794809	49.722115	21.139805	500.0	8.0859995	2.6548612	12.448466	1.8678786	432000	1.8626451e-09	3.2174997	-0.008967044	-1.0559173	1.3564423	0.0072253193	0.0675625	127.0	517.6299569606781	0.0	0.03125	0.0	0.0	0.0
27	39.701363	9.473721	53.0999	20.054441	500.0	8.703693	2.690759	12.474235	0.7965814	448000	1.8626451e-08	3.219185	-0.008239499	-0.8069792	1.3564423	0.0054571535	0.0626875	127.0	537.8802416324615	0.0	0.0	0.0	0.0	0.0
28	41.934254	9.213613	55.629734	20.602755	500.0	9.271695	2.5947137	12.580091	1.9862957	464000	3.7252903e-09	2.4819977	-0.008861532	-0.6123377	1.3564423	0.0077282977	0.066125	127.0	557.1537868976593	0.0	0.09375	0.0	0.0	0.0
29	36.545258	11.290879	52.138977	18.399252	500.0	8.985992	3.0367074	14.991423	-0.92257077	480000	3.7252903e-09	4.2651877	-0.01018903	-1.431577	1.3564423	0.0065133027	0.0590625	127.0	579.0040831565857	0.0	0.0625	0.0	0.0	0.0
30	33.7144	10.341644	52.80748	18.189547	500.0	8.008881	2.8672361	12.954054	-0.24635866	496000	-7.450581e-09	3.8713033	-0.009516018	-0.97069323	1.3564423	0.006865582	0.074625	127.0	601.6688530445099	0.0	0.03125	0.0	0.0	0.0
31	34.309677	10.936401	53.077095	15.84871	500.0	7.684292	2.7655044	13.244753	-6.357544	512000	-2.9802322e-08	3.652332	-0.009366321	-0.6157372	1.3564423	0.0059046056	0.072375	127.0	623.473592042923	0.0	0.0625	0.0	0.0	0.0
