Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24350782	0.14596178	0.76663387	0.078597136	500.0	0.12380198	0.03101932	0.1516411	0.026728585	16000	-2.4214387e-08	0.0051702578	-0.0074889045	-0.0041216854	1.3475134	0.0052189026	0.062875	127.0	25.126944541931152	0.0	0.0	0.0	0.0	0.0
1	0.3283917	0.1738272	0.8210684	0.112113856	500.0	0.08373683	0.023320729	0.15539537	0.0220396	32000	1.1175871e-08	0.001692562	-0.007776618	-0.0006527323	1.3475134	0.007342162	0.090375	127.0	51.64761662483215	0.0	0.0	0.0	0.0	0.0
2	0.6794143	0.46998206	2.0706646	0.11863782	500.0	0.10455499	0.036620203	0.20083338	0.028730795	48000	2.9802322e-08	0.014917043	-0.005054759	-0.006931239	1.3475134	0.006552799	0.0684375	127.0	77.02689599990845	0.0	0.0	0.0	0.0	0.0
3	1.8292226	0.83503497	3.6337137	0.40253603	500.0	0.20358393	0.08330473	0.39321816	-0.0075323284	64000	3.4458935e-08	0.10016097	-0.005209079	-0.06370166	1.3475134	0.0054544993	0.053062502	127.0	99.83877325057983	0.0	0.0	0.0	0.0	0.0
4	2.746647	1.808783	7.285276	0.79388523	500.0	0.46575662	0.20796962	0.8985079	-0.034411967	80000	-3.7252903e-09	0.24766903	-0.0068607675	-0.11310491	1.3475134	0.008343637	0.088	127.0	123.15856647491455	0.0	0.0	0.0	0.0	0.0
5	4.0731845	2.9020898	11.313815	0.84659916	500.0	0.81535727	0.45354697	1.8805912	-0.17487974	96000	-1.4901161e-08	0.44768837	-0.0055033257	-0.18101901	1.3475134	0.005955604	0.07637499	127.0	147.34830522537231	0.0	0.0	0.0	0.0	0.0
6	9.256345	5.175903	20.974096	0.9763061	500.0	1.4656458	0.91812736	3.2844965	-0.5127269	112000	-3.7252903e-09	2.1435816	-0.007201451	-1.0591173	1.3475134	0.0075570894	0.082875006	127.0	171.1737310886383	0.0	0.0	0.0	0.0	0.0
7	9.425013	5.119575	20.062654	0.4697845	500.0	2.7147374	1.6281102	5.6624026	-1.0684243	128000	-3.7252903e-09	1.4745988	-0.007582692	-0.29994863	1.3475134	0.0064512817	0.0643125	127.0	195.35521483421326	0.0	0.0	0.0	0.0	0.0
8	11.2411	6.702185	22.746088	0.99604535	500.0	3.070213	1.7074959	5.6465116	-0.9517105	144000	5.5879354e-09	2.1246042	-0.007142247	-0.47184658	1.3475134	0.006621932	0.070875004	127.0	217.07083940505981	0.0	0.0	0.0	0.0	0.0
9	12.655579	6.054364	23.260622	1.4413179	500.0	3.3978696	1.9120865	6.2865114	-0.95365626	160000	0.0	2.1060264	-0.0073675313	-0.39682811	1.3475134	0.00493274	0.0515	127.0	239.82659101486206	0.0	0.0	0.0	0.0	0.0
