Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5434714	0.3600791	1.9083384	0.1874492	500.0	0.0876379	0.011602475	0.11244783	0.04186187	16000	1.1175871e-08	0.0069621108	-0.0056533064	-0.0020263023	1.3475134	0.005135966	0.06025	127.0	22.48966932296753	0.0	0.0	0.0	0.0	0.0
1	0.80041826	0.7211786	4.068023	0.12719272	500.0	0.13881657	0.033433266	0.24130434	0.045672603	32000	1.4901161e-08	0.024486203	-0.0055735484	-0.007857924	1.3475134	0.0060284706	0.0763125	127.0	41.33848714828491	0.0	0.0	0.0	0.0	0.0
2	1.3616745	1.0122105	5.043948	0.22915648	500.0	0.23593658	0.08174167	0.44272432	0.040942453	48000	-1.4901161e-08	0.05599172	-0.006420193	-0.020255908	1.3475134	0.0070513496	0.08	127.0	63.16195845603943	0.0	0.0	0.0	0.0	0.0
3	4.428797	2.2292345	9.100264	0.84518725	500.0	0.44387177	0.18789676	0.9558197	0.004598096	64000	1.1175871e-08	0.62741065	-0.005536066	-0.38102144	1.3475134	0.0045034736	0.043375	127.0	84.38676404953003	0.0	0.0	0.0	0.0	0.0
4	7.388822	4.705007	17.601328	1.3024439	500.0	1.1024953	0.48687097	2.223911	-0.16636238	80000	-1.4901161e-08	1.6699563	-0.0056133457	-0.7894088	1.3475134	0.006115399	0.059	127.0	105.25278973579407	0.0	0.0625	0.0	0.0	0.0
5	13.03916	4.9045424	24.728079	3.2709768	500.0	2.066682	1.023403	3.946864	-0.3723365	96000	2.4214387e-08	2.7606134	-0.008091374	-1.4436855	1.3475134	0.006688617	0.0795625	127.0	126.07077360153198	0.0	0.0	0.0	0.0	0.0
6	16.073711	3.3622062	21.392694	8.742229	500.0	3.5100145	1.5980251	6.0868387	-0.4927047	112000	-2.2351742e-08	1.6066847	-0.0070319586	-0.6367388	1.3475134	0.004801413	0.069125004	127.0	147.40645551681519	0.0	0.0	0.0	0.0	0.0
7	15.6777315	5.631339	26.439106	3.1664746	500.0	4.5089912	1.9954406	7.015175	-0.5848205	128000	-5.5879354e-09	1.9705474	-0.007897788	-0.26490456	1.3475134	0.007003011	0.066625	127.0	167.2276632785797	0.0	0.0	0.0	0.0	0.0
8	20.698374	7.8939304	57.67233	9.66956	500.0	4.341069	1.8102385	6.573746	-0.37508535	144000	0.0	5.24696	-0.007411074	-0.880092	1.3475134	0.0073123258	0.0815	127.0	189.65751242637634	0.0	0.09375	0.0	0.0	0.0
9	20.054234	5.1447344	39.51932	11.895429	500.0	5.349618	2.0216768	7.900976	-0.27181327	160000	3.7252903e-09	2.3729782	-0.007678101	-0.2601769	1.3475134	0.0070487834	0.059	127.0	212.17096948623657	0.0	0.0625	0.0	0.0	0.0
10	23.141144	3.6046405	30.532587	15.10548	500.0	5.26523	1.7154063	7.6827707	0.41664508	176000	-5.5879354e-09	1.7376453	-0.007175359	-0.2230882	1.3475134	0.0069223195	0.052	127.0	233.68409729003906	0.0	0.0	0.0	0.0	0.0
11	23.049614	4.5462294	34.659077	11.071527	500.0	6.025629	1.6949058	8.088674	0.9653755	192000	0.0	1.9605277	-0.0062307687	-0.25219148	1.3475134	0.0054069622	0.041625	127.0	261.9937081336975	0.0	0.09375	0.0	0.0	0.0
12	23.688805	4.718407	34.93587	15.310575	500.0	5.708468	1.4062718	7.5229306	1.5509624	208000	7.450581e-09	1.6010585	-0.007784346	-0.10174463	1.3475134	0.006096876	0.0540625	127.0	292.0080795288086	0.0	0.0	0.0	0.0	0.0
13	25.780216	8.710112	67.494545	16.771503	500.0	5.7659698	1.5078717	7.531694	1.0575905	224000	7.450581e-09	4.679551	-0.005708061	-0.21668714	1.3475134	0.0051877443	0.0506875	127.0	313.58447456359863	0.0	0.09375	0.0	0.0	0.0
14	24.338982	4.7530313	33.85782	16.745693	500.0	6.132726	1.5508825	7.767663	1.1047969	240000	-3.7252903e-09	1.4089329	-0.0074637774	-0.082029775	1.3475134	0.006119311	0.049875	127.0	338.7509722709656	0.0	0.09375	0.0	0.0	0.0
15	24.927662	4.7187734	34.65739	15.970019	500.0	5.943472	1.5720874	7.688866	0.8748653	256000	1.3038516e-08	1.6573997	-0.0064489213	-0.38763294	1.3475134	0.0054247947	0.045999996	127.0	362.37533831596375	0.0	0.03125	0.0	0.0	0.0
16	25.218872	3.7449613	34.596313	18.075706	500.0	5.8610163	1.5614388	8.26254	0.24183272	272000	7.450581e-09	1.1893792	-0.0072006173	-0.12383584	1.3475134	0.005997127	0.0534375	127.0	391.0875611305237	0.0	0.0625	0.0	0.0	0.0
17	27.07238	4.3554955	35.544834	20.691374	500.0	6.4044666	1.7536837	8.619099	0.18831357	288000	7.450581e-09	1.5059929	-0.0090150535	-0.23513523	1.3475134	0.0061363215	0.0735625	127.0	422.8590281009674	0.0	0.0	0.0	0.0	0.0
18	29.092674	8.120512	68.60782	18.800673	500.0	6.602388	1.894406	8.699058	0.39012957	304000	1.1175871e-08	3.7980404	-0.007120819	-0.32351005	1.3475134	0.0066427826	0.059562504	127.0	447.43713760375977	0.0	0.125	0.0	0.0	0.0
19	31.040554	5.346192	51.536926	22.16415	500.0	7.128923	2.073138	9.299312	0.42782795	320000	2.2351742e-08	2.1096656	-0.005887293	-0.21445745	1.3475134	0.0058812974	0.048625	127.0	469.3739001750946	0.0	0.21875	0.0	0.0	0.0
20	28.602022	4.135775	39.397015	18.471651	500.0	7.365186	2.1716578	9.673945	0.45863304	336000	1.1175871e-08	1.4300492	-0.0076557067	-0.28037316	1.3475134	0.0048577692	0.0526875	127.0	490.1628394126892	0.0	0.125	0.0	0.0	0.0
21	32.08059	6.506088	61.701023	22.981237	500.0	7.068625	2.000924	9.604298	0.40807706	352000	-1.8626451e-08	3.0066638	-0.0063497284	-0.4379545	1.3475134	0.0057594352	0.0610625	127.0	513.5104517936707	0.0	0.125	0.0	0.0	0.0
22	31.098204	2.9354093	37.037167	25.202974	500.0	7.806683	2.2758245	10.408036	0.9256579	368000	1.8626451e-08	1.1416656	-0.0064956266	-0.31657386	1.3475134	0.006354604	0.0513125	127.0	536.2650640010834	0.0	0.21875	0.0	0.0	0.0
23	31.44172	4.1830444	38.874477	24.72552	500.0	7.501228	2.0406573	9.833795	1.0086626	384000	7.450581e-09	0.9891707	-0.0075066746	-0.09794654	1.3475134	0.0070890966	0.0591875	127.0	556.7422230243683	0.0	0.03125	0.0	0.0	0.0
24	30.320732	4.114078	41.023052	24.529665	500.0	7.732211	2.1916819	10.053479	0.78360033	400000	-8.381903e-09	1.1010917	-0.0070141363	-0.21232826	1.3475134	0.007482645	0.056625	127.0	578.3143446445465	0.0	0.03125	0.0	0.0	0.0
25	31.419827	4.0166025	40.173077	24.415884	500.0	7.2818265	1.8754534	9.800646	1.2242931	416000	2.2351742e-08	1.100946	-0.007769905	-0.12119066	1.3475134	0.006220508	0.06075	127.0	600.491673707962	0.0	0.03125	0.0	0.0	0.0
26	32.128372	3.2229803	37.700844	23.696232	500.0	7.334945	1.8339614	10.087319	1.172587	432000	-4.656613e-09	1.0524168	-0.006008558	-0.17296591	1.3475134	0.005336607	0.0485625	127.0	624.2444498538971	0.0	0.0625	0.0	0.0	0.0
27	32.722347	3.450319	39.906296	25.46139	500.0	7.633207	2.0459602	10.541622	1.0906425	448000	1.4901161e-08	0.9781774	-0.007088866	-0.044426955	1.3475134	0.0057287766	0.0530625	127.0	646.960337638855	0.0	0.09375	0.0	0.0	0.0
28	33.70225	3.7305639	39.712517	26.327738	500.0	7.6252217	2.0101743	10.617484	1.272794	464000	1.1175871e-08	1.1005894	-0.007499003	-0.17074883	1.3475134	0.007026079	0.063062504	127.0	668.8391706943512	0.0	0.0	0.0	0.0	0.0
29	34.548702	3.4827154	40.5671	26.756489	500.0	8.087942	2.1610744	11.00307	1.6985689	480000	-1.1175871e-08	1.036839	-0.0076849675	-0.17189112	1.3475134	0.0067676865	0.065625	127.0	691.5668241977692	0.0	0.03125	0.0	0.0	0.0
30	32.47533	4.8001304	40.765625	20.492512	500.0	8.363158	2.2397535	11.064833	1.5941247	496000	3.1664968e-08	1.5528924	-0.007429871	-0.69643426	1.3475134	0.0049416055	0.0595	127.0	715.6370089054108	0.0	0.09375	0.0	0.0	0.0
31	35.421104	5.371718	41.900906	23.968111	500.0	7.897023	2.082436	10.497613	1.0850031	512000	2.4214387e-08	1.48162	-0.007874331	-0.3749335	1.3475134	0.005742565	0.047937497	127.0	738.9575710296631	0.0	0.0625	0.0	0.0	0.0
32	36.62644	3.4968407	42.436897	26.977022	500.0	8.448752	2.3458087	10.790601	1.1674204	528000	0.0	0.819211	-0.00761937	-0.16344273	1.3475134	0.0062432378	0.058562502	127.0	761.3284561634064	0.0	0.0	0.0	0.0	0.0
33	36.811836	3.7892485	43.944008	25.69293	500.0	8.773962	2.2949584	11.366564	2.1681426	544000	1.8626451e-09	0.70846075	-0.008345887	-0.03233626	1.3475134	0.005812414	0.0599375	127.0	781.9281604290009	0.0	0.0	0.0	0.0	0.0
34	36.87004	3.7323425	43.13932	27.009394	500.0	8.937594	2.36023	11.038279	2.3197055	560000	1.3038516e-08	1.0596772	-0.007452658	-0.15537754	1.3475134	0.006667089	0.0518125	127.0	803.2009916305542	0.0	0.0625	0.0	0.0	0.0
35	36.687798	2.8838277	41.16036	31.323883	500.0	8.81338	2.266052	10.872429	2.4978578	576000	1.3038516e-08	0.7475461	-0.007923181	-0.08904745	1.3475134	0.005062493	0.0591875	127.0	827.7749376296997	0.0	0.0	0.0	0.0	0.0
36	38.436687	2.5714922	42.469997	31.837902	500.0	8.83161	2.3877022	11.261936	2.372598	592000	2.4214387e-08	0.5718233	-0.007333068	-0.13973558	1.3475134	0.005560507	0.051625	127.0	849.7594528198242	0.0	0.0	0.0	0.0	0.0
37	38.076324	3.4178176	43.497257	28.572958	500.0	9.174868	2.4791212	11.541354	2.365421	608000	-1.1175871e-08	0.75263643	-0.008001901	-0.08905157	1.3475134	0.008270978	0.058125	127.0	870.7950932979584	0.0	0.0	0.0	0.0	0.0
