Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13660032	0.095046535	0.35764444	0.028799847	500.0	0.05149379	0.017839545	0.13205141	-0.008589571	16000	-1.1175871e-08	0.0011469779	-0.0077617853	-0.0007410129	1.3564423	0.0062670894	0.068937495	127.0	27.792240619659424	0.0	0.0	0.0	0.0	0.0
1	0.1804581	0.1102567	0.4948044	0.031680454	500.0	0.033806715	0.016154574	0.1035824	-0.022873199	32000	1.8626451e-08	0.0006053918	-0.0077179424	-0.0002385047	1.3564423	0.0087065045	0.0814375	127.0	51.57774829864502	0.0	0.0	0.0	0.0	0.0
2	0.31789693	0.22097571	0.9912316	0.03223349	500.0	0.043280214	0.016405353	0.10804854	-0.011677455	48000	7.450581e-09	0.001944736	-0.0085315	-0.0009233358	1.3564423	0.008491971	0.092375	127.0	72.22052955627441	0.0	0.0	0.0	0.0	0.0
3	0.3959899	0.21151873	0.905198	0.03825603	500.0	0.06262562	0.027957452	0.12707177	-0.027309552	64000	-1.4901161e-08	0.0013429296	-0.009711238	-0.000405993	1.3564423	0.008381635	0.0911875	127.0	93.90391802787781	0.0	0.0	0.0	0.0	0.0
4	0.7609575	0.40667588	2.2020147	0.31809598	500.0	0.10396512	0.027830368	0.17358145	0.014099199	80000	4.4703484e-08	0.00770995	-0.009901287	-0.0038655724	1.3564423	0.009118493	0.096125	127.0	118.2884464263916	0.0	0.0	0.0	0.0	0.0
5	1.2901518	0.9409945	5.021255	0.40932807	500.0	0.18228018	0.049434677	0.35844785	0.023920037	96000	0.0	0.041016683	-0.0059697367	-0.019993901	1.3564423	0.006639336	0.0735625	127.0	142.31749081611633	0.0	0.0	0.0	0.0	0.0
6	2.954394	2.3071532	10.151817	0.7200434	500.0	0.36406004	0.18321241	0.814789	-0.0088944845	112000	2.2351742e-08	0.31178653	-0.005744911	-0.17630388	1.3564423	0.007802879	0.07775	127.0	163.08979272842407	0.0	0.0	0.0	0.0	0.0
7	6.261338	3.8662837	15.974744	0.39404887	500.0	0.9578231	0.55942726	2.2156386	-0.1391153	128000	3.5390258e-08	0.99661034	-0.007979042	-0.4367506	1.3564423	0.006864709	0.073937505	127.0	186.42486190795898	0.0	0.0	0.0	0.0	0.0
8	10.626223	6.0505867	21.298504	0.8210498	500.0	1.7892617	0.99524105	3.8407788	-0.26107338	144000	0.0	2.335824	-0.007995371	-1.0426855	1.3564423	0.0066595064	0.0743125	127.0	211.67906856536865	0.0	0.0	0.0	0.0	0.0
9	12.976938	7.7218804	27.15443	0.7294494	500.0	2.6904352	1.624492	5.7893524	-0.4733404	160000	2.2351742e-08	2.2332585	-0.008606739	-0.8219011	1.3564423	0.008864393	0.0980625	127.0	236.02668714523315	0.0	0.0	0.0	0.0	0.0
