Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.8665975	0.64120924	3.5181763	0.18327323	500.0	0.10650197	0.013645079	0.13459215	0.06468081	16000	0.0	0.02905579	-0.004587967	-0.009816179	1.3475134	0.005134494	0.0530625	127.0	24.976781129837036	0.0	0.0	0.0	0.0	0.0
1	1.2633332	0.7151799	2.9336967	0.2578237	500.0	0.21207814	0.053874552	0.3547382	0.06804803	32000	2.6077032e-08	0.03739443	-0.0060923705	-0.0125544015	1.3475134	0.0054323585	0.061187502	127.0	45.884446144104004	0.0	0.0	0.0	0.0	0.0
2	2.3009484	1.2877016	4.546822	0.29187617	500.0	0.3234862	0.09916925	0.5452121	0.09760431	48000	-7.450581e-09	0.15266868	-0.0048615253	-0.06707936	1.3475134	0.005190382	0.050625	127.0	66.69817399978638	0.0	0.0	0.0	0.0	0.0
3	6.0592585	3.45897	14.0847225	0.6945227	500.0	0.61084324	0.24258405	1.148784	0.047345832	64000	-2.9802322e-08	1.4502355	-0.0058224257	-0.8218292	1.3475134	0.0052021514	0.044875	127.0	87.01249313354492	0.0	0.0	0.0	0.0	0.0
4	7.3803387	4.4806895	18.811785	1.4979032	500.0	1.5684383	0.6625716	2.930462	-0.06825064	80000	-1.4901161e-08	1.4329324	-0.006395324	-0.53976303	1.3475134	0.0067277793	0.066874996	127.0	106.30071520805359	0.0	0.0	0.0	0.0	0.0
5	10.172906	3.3565214	17.78711	2.7579434	500.0	2.2172854	1.1521895	4.147149	-0.28435692	96000	2.2351742e-08	0.9821633	-0.007956394	-0.35476783	1.3475134	0.006035984	0.0800625	127.0	126.75720262527466	0.0	0.0	0.0	0.0	0.0
6	16.286795	4.3931355	27.196846	7.740426	500.0	2.9905436	1.5099894	5.199174	-0.45955402	112000	-5.5879354e-09	2.551704	-0.007499185	-1.2175908	1.3475134	0.0061042793	0.083937496	127.0	147.80379629135132	0.0	0.03125	0.0	0.0	0.0
7	17.245644	5.209588	34.340496	5.4560304	500.0	4.406982	1.7265595	6.627804	0.10385637	128000	-1.1175871e-08	1.6427746	-0.008358825	-0.14064302	1.3475134	0.0055576945	0.0705	127.0	169.4892213344574	0.0	0.0	0.0	0.0	0.0
8	18.679123	4.139256	25.625977	9.91126	500.0	4.539094	1.7312176	6.7539134	0.17132732	144000	-3.7252903e-09	1.6824458	-0.008647294	-0.16744426	1.3475134	0.009115348	0.079625	127.0	189.83110284805298	0.0	0.0	0.0	0.0	0.0
9	20.461655	3.1914396	26.426737	14.764273	500.0	4.887384	1.5460502	6.7276	0.56257766	160000	2.9802322e-08	1.5750679	-0.006773968	-0.15111616	1.3475134	0.0060938327	0.057812497	127.0	214.06523633003235	0.0	0.0	0.0	0.0	0.0
10	21.93388	3.7508	32.127	13.629173	500.0	5.1758256	1.4435349	6.991306	1.0119945	176000	-7.450581e-09	1.4070711	-0.007152267	-0.23695977	1.3475134	0.0065732086	0.051749997	127.0	237.96394205093384	0.0	0.0	0.0	0.0	0.0
11	23.165293	3.9189568	35.28181	15.194068	500.0	5.467109	1.6203574	7.7794085	0.7008562	192000	-1.8626451e-09	1.7140746	-0.0076252217	-0.32030123	1.3475134	0.0067636026	0.0585625	127.0	258.6303279399872	0.0	0.125	0.0	0.0	0.0
12	23.846577	3.5794573	32.291542	16.55412	500.0	6.056638	1.6795136	8.305918	1.3239467	208000	2.7939677e-09	1.0740924	-0.007872427	-0.10950187	1.3475134	0.0064245784	0.055250004	127.0	282.9392650127411	0.0	0.03125	0.0	0.0	0.0
13	24.79335	4.965347	37.518826	15.26522	500.0	6.172132	1.7252159	8.167023	1.1857437	224000	-2.4214387e-08	1.3763224	-0.006482746	-0.15712008	1.3475134	0.0060338876	0.047625	127.0	303.5157699584961	0.0	0.15625	0.0	0.0	0.0
14	26.344063	3.6910405	33.52572	19.527876	500.0	6.051195	1.9276315	8.535299	0.42318746	240000	3.7252903e-09	1.0904801	-0.0065147057	-0.18318588	1.3475134	0.005078127	0.0510625	127.0	323.8903489112854	0.0	0.0	0.0	0.0	0.0
15	26.72694	4.717205	34.41489	19.65014	500.0	6.5346885	2.1210325	8.87456	0.3882733	256000	-1.8626451e-09	1.2302134	-0.0069406983	-0.17379093	1.3475134	0.005063219	0.0449375	127.0	347.28545236587524	0.0	0.0	0.0	0.0	0.0
16	26.667488	6.6415873	53.01856	18.898531	500.0	6.6391573	2.1613946	9.453853	0.47685564	272000	3.7252903e-09	2.5866613	-0.006035174	-0.30795294	1.3475134	0.0051735733	0.049625	127.0	370.7781322002411	0.0	0.125	0.0	0.0	0.0
17	26.628925	4.646093	38.35577	20.712025	500.0	6.624559	2.2791662	9.795432	0.4662124	288000	-1.1175871e-08	1.5233014	-0.008096223	-0.25139195	1.3475134	0.0057706265	0.0618125	127.0	394.0700738430023	0.0	0.0625	0.0	0.0	0.0
