Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5290761	0.36157084	1.9180144	0.17627452	500.0	0.0844861	0.011689709	0.10934229	0.038589254	16000	-7.450581e-09	0.007006131	-0.005730741	-0.0021198099	1.3475134	0.0053904876	0.062375	127.0	22.624078035354614	0.0	0.0	0.0	0.0	0.0
1	0.774724	0.68614596	3.8530116	0.12230603	500.0	0.13599063	0.032008708	0.2394008	0.045685217	32000	-2.2351742e-08	0.02193322	-0.0056263106	-0.0071329074	1.3475134	0.0057392037	0.07075	127.0	44.80186676979065	0.0	0.0	0.0	0.0	0.0
2	1.3425963	1.0045077	4.985026	0.2323636	500.0	0.22841085	0.07813894	0.42532036	0.04243	48000	3.7252903e-08	0.05547478	-0.006359852	-0.020795453	1.3475134	0.006957829	0.0804375	127.0	66.40866112709045	0.0	0.0	0.0	0.0	0.0
3	4.309584	2.1348803	9.049743	0.81803596	500.0	0.4324285	0.18303229	0.9361043	0.007170096	64000	-2.7939677e-08	0.5849863	-0.0054866904	-0.35394096	1.3475134	0.0045407917	0.044125	127.0	90.6948094367981	0.0	0.0	0.0	0.0	0.0
4	7.3162503	4.7670603	17.661873	1.2761261	500.0	1.0703464	0.4649796	2.1211216	-0.14764369	80000	-6.3329935e-08	1.7311926	-0.0058352035	-0.81390584	1.3475134	0.0056180386	0.0559375	127.0	111.64293360710144	0.0	0.0	0.0	0.0	0.0
5	12.904348	4.9449396	23.86477	2.878852	500.0	2.0234957	1.0032902	3.80194	-0.26237458	96000	2.4214387e-08	2.815605	-0.007783789	-1.4506538	1.3475134	0.0062671215	0.0755	127.0	134.688946723938	0.0	0.0	0.0	0.0	0.0
6	15.742296	3.6032112	26.470425	7.6454487	500.0	3.4759076	1.5726478	5.813691	-0.2906317	112000	2.9802322e-08	1.4993536	-0.007082732	-0.51691425	1.3475134	0.0051232944	0.0721875	127.0	156.14996695518494	0.0	0.0	0.0	0.0	0.0
7	16.126804	5.741557	27.317932	2.776032	500.0	4.414831	1.950683	6.930855	-0.54709136	128000	-1.8626451e-08	2.0307984	-0.007697422	-0.20206746	1.3475134	0.006265308	0.062312502	127.0	177.84460711479187	0.0	0.0	0.0	0.0	0.0
8	20.621552	9.176498	65.46043	9.5633955	500.0	4.445923	1.8451144	6.7869725	-0.4074946	144000	7.450581e-09	6.4409585	-0.006882345	-0.845941	1.3475134	0.007257745	0.0793125	127.0	201.8205029964447	0.0	0.0625	0.0	0.0	0.0
9	20.16106	3.6408975	27.406664	13.15886	500.0	5.403096	1.9925479	7.687831	-0.49914008	160000	-4.656613e-09	1.4511963	-0.0077063562	-0.20183998	1.3475134	0.0057495553	0.057687502	127.0	225.48715567588806	0.0	0.03125	0.0	0.0	0.0
10	23.523193	3.7743342	32.848915	14.940385	500.0	5.3340178	1.7080402	7.3758416	0.44639993	176000	1.4901161e-08	1.7703532	-0.0077382354	-0.25580698	1.3475134	0.006627704	0.061187502	127.0	250.1639986038208	0.0	0.09375	0.0	0.0	0.0
11	22.63732	3.8671796	32.232536	12.8086815	500.0	6.0312066	1.7137591	7.9466376	0.67493045	192000	1.1175871e-08	2.0402617	-0.0058806827	-0.37411156	1.3475134	0.0057610506	0.0393125	127.0	273.9228994846344	0.0	0.0	0.0	0.0	0.0
12	22.142506	4.586792	33.419575	12.837705	500.0	5.6311436	1.3242635	7.0692863	1.5922301	208000	0.0	1.7547512	-0.0070840195	-0.103522554	1.3475134	0.005881996	0.0590625	127.0	309.52671241760254	0.0	0.0625	0.0	0.0	0.0
13	23.877123	5.376193	37.3249	15.641501	500.0	5.4027596	1.2802088	6.767995	1.1786433	224000	-2.9802322e-08	2.2913969	-0.0071827266	-0.17150849	1.3475134	0.006003309	0.0604375	127.0	345.38542103767395	0.0	0.0625	0.0	0.0	0.0
14	23.930466	5.797	44.780632	13.420219	500.0	5.632425	1.2863334	6.9687123	1.2064229	240000	1.8626451e-08	1.9282589	-0.0066501694	-0.09620044	1.3475134	0.0067831273	0.0544375	127.0	377.7743339538574	0.0	0.09375	0.0	0.0	0.0
15	23.99438	3.8417125	33.10402	18.68137	500.0	5.7174067	1.3664962	7.3428216	1.1594975	256000	1.3038516e-08	1.5067499	-0.0064108884	-0.14230189	1.3475134	0.0064725224	0.050499998	127.0	400.25017619132996	0.0	0.0625	0.0	0.0	0.0
16	24.859425	3.873481	36.073986	19.432669	500.0	5.447834	1.1979629	7.3987823	1.3155016	272000	1.8626451e-09	1.4922254	-0.006803899	-0.18769404	1.3475134	0.006239122	0.0580625	127.0	423.7788679599762	0.0	0.0	0.0	0.0	0.0
17	24.733433	3.5389662	35.090965	20.145115	500.0	5.950866	1.4038191	8.222464	0.9826294	288000	-7.450581e-09	1.1184283	-0.007510955	-0.13535547	1.3475134	0.0063381195	0.0494375	127.0	446.91110157966614	0.0	0.03125	0.0	0.0	0.0
18	26.3829	4.58292	40.96069	16.769533	500.0	5.810658	1.4990343	7.66788	0.5040806	304000	1.8626451e-09	1.4863714	-0.0067235045	-0.17663212	1.3475134	0.005430961	0.050312497	127.0	469.8724184036255	0.0	0.03125	0.0	0.0	0.0
19	27.91906	3.9887881	36.70503	22.156313	500.0	5.998468	1.4888498	8.247543	0.84819317	320000	-1.4901161e-08	1.3166869	-0.0075704567	-0.22137637	1.3475134	0.0076589324	0.059875004	127.0	495.45668625831604	0.0	0.1875	0.0	0.0	0.0
20	27.308338	8.138511	59.64102	12.856026	500.0	6.375011	1.6357775	8.7133875	0.8372476	336000	-1.6763806e-08	3.5325549	-0.007142069	-0.86018	1.3475134	0.005432644	0.061000004	127.0	520.1334450244904	0.0	0.125	0.0	0.0	0.0
21	27.762985	4.646946	39.283756	19.480669	500.0	6.685714	1.9760785	10.002789	0.44623253	352000	0.0	1.6183996	-0.008938828	-0.3447913	1.3475134	0.006407085	0.0721875	127.0	544.9057779312134	0.0	0.03125	0.0	0.0	0.0
22	28.655796	4.637705	39.665955	19.808752	500.0	6.900538	1.9044939	9.452899	1.0802295	368000	0.0	1.200709	-0.007159967	-0.1234276	1.3475134	0.006451942	0.0561875	127.0	572.0119287967682	0.0	0.15625	0.0	0.0	0.0
23	30.718857	6.311734	54.12733	22.62859	500.0	7.081258	1.9478027	9.330308	1.1490287	384000	2.9802322e-08	2.1078315	-0.0068665524	-0.18367815	1.3475134	0.0057153404	0.0493125	127.0	600.3667805194855	0.0	0.15625	0.0	0.0	0.0
24	30.425102	5.958154	50.54377	22.579195	500.0	7.1088448	2.0702484	9.895396	1.1655389	400000	-1.3038516e-08	1.8894417	-0.0061338875	-0.11515316	1.3475134	0.004994552	0.055	127.0	624.2606406211853	0.0	0.34375	0.0	0.0	0.0
25	32.45617	9.351405	58.51316	23.204184	500.0	7.4528184	2.0659413	9.935698	1.1041952	416000	-1.1175871e-08	3.9893644	-0.005872698	-0.32128373	1.3475134	0.006440151	0.056187503	127.0	647.1666650772095	0.0	0.1875	0.0	0.0	0.0
26	31.123234	5.376574	53.159405	21.50343	500.0	7.041391	2.0485973	10.699542	1.1918766	432000	-2.2351742e-08	1.8117671	-0.006499228	-0.33145353	1.3475134	0.0061769234	0.0541875	127.0	671.100953578949	0.0	0.125	0.0	0.0	0.0
27	30.900835	4.6496205	42.458656	23.161367	500.0	7.6339226	2.2699494	10.621966	1.1558996	448000	-7.450581e-09	1.2525384	-0.0058893794	-0.2431413	1.3475134	0.0059513263	0.048375003	127.0	697.4313430786133	0.0	0.21875	0.0	0.0	0.0
28	31.812935	4.818217	41.40142	24.96275	500.0	7.4587984	2.092571	10.281177	1.4331312	464000	-2.6077032e-08	1.2239861	-0.006360849	-0.14335348	1.3475134	0.005447346	0.0531875	127.0	722.0165133476257	0.0	0.1875	0.0	0.0	0.0
29	31.280807	2.8563578	36.402126	24.129536	500.0	7.2134805	1.8722516	10.336506	1.4913309	480000	1.4901161e-08	0.87266904	-0.0064968653	-0.13226554	1.3475134	0.0065428987	0.05275	127.0	744.0887675285339	0.0	0.09375	0.0	0.0	0.0
30	32.796997	4.9126062	48.457844	25.11483	500.0	7.6306925	1.9883327	10.184939	1.6988677	496000	5.5879354e-09	1.1395439	-0.0069765504	-0.1673419	1.3475134	0.0061146077	0.0586875	127.0	769.3011901378632	0.0	0.3125	0.0	0.0	0.0
31	31.922153	2.5285487	38.150955	26.675747	500.0	7.6217494	2.045346	10.911409	1.7079391	512000	-1.8626451e-08	0.6355503	-0.007326398	-0.12164372	1.3475134	0.006040589	0.0609375	127.0	792.9230327606201	0.0	0.28125	0.0	0.0	0.0
32	33.12189	3.8402905	44.501396	25.10378	500.0	7.6716776	1.9756175	10.56716	2.0625725	528000	0.0	0.89091533	-0.007842832	-0.1253013	1.3475134	0.0060184784	0.0585625	127.0	816.0472087860107	0.0	0.0625	0.0	0.0	0.0
33	32.955276	3.364469	43.968674	28.127218	500.0	8.014276	2.0859423	10.741466	2.3586648	544000	9.313226e-09	0.8248075	-0.00702829	-0.17534173	1.3475134	0.0037279434	0.046875	127.0	839.4202089309692	0.0	0.28125	0.0	0.0	0.0
34	35.217873	4.615403	48.936146	25.64943	500.0	7.6701083	1.8797077	10.320642	2.4615397	560000	2.9802322e-08	1.3125491	-0.007012661	-0.3436769	1.3475134	0.0065524257	0.0599375	127.0	864.1782963275909	0.0	0.09375	0.0	0.0	0.0
35	32.470284	3.1674442	37.63031	23.15533	500.0	8.023748	2.0700712	11.066326	2.7030952	576000	1.4901161e-08	0.9446649	-0.0075127613	-0.23499757	1.3475134	0.00468242	0.059187498	127.0	888.9055109024048	0.0	0.03125	0.0	0.0	0.0
36	35.6109	7.9409714	74.9831	29.104017	500.0	7.8145437	2.067506	10.407816	2.467725	592000	3.7252903e-09	3.8242843	-0.005283435	-0.55317503	1.3475134	0.0070944154	0.0616875	127.0	911.3457624912262	0.0	0.09375	0.0	0.0	0.0
37	34.014267	4.907775	42.93505	21.721876	500.0	8.235229	2.2248728	11.149977	2.5470965	608000	-7.450581e-09	1.3166523	-0.008466007	-0.18380822	1.3475134	0.008677501	0.0668125	127.0	934.0010859966278	0.0	0.03125	0.0	0.0	0.0
38	37.364506	6.3643074	66.15757	27.954157	500.0	8.227565	2.1069813	10.652969	2.5583646	624000	-7.450581e-09	3.003537	-0.0064720353	-0.3970048	1.3475134	0.0070681833	0.059874997	127.0	960.4081311225891	0.0	0.5	0.0	0.0	0.0
39	36.127033	3.1067975	40.36889	29.413635	500.0	8.451379	2.1939366	11.222099	2.8406625	640000	-5.5879354e-09	0.8283845	-0.0076273056	-0.18210943	1.3475134	0.006226495	0.0585	127.0	984.2696495056152	0.0	0.15625	0.0	0.0	0.0
40	36.376736	4.9066596	43.343384	24.648792	500.0	8.514478	2.3380415	10.9950285	2.4730167	656000	-1.1175871e-08	1.0272776	-0.007861849	-0.13493213	1.3475134	0.0053944606	0.052	127.0	1008.7774403095245	0.0	0.1875	0.0	0.0	0.0
41	38.828667	4.6578436	50.788548	29.247921	500.0	8.640707	2.3074946	10.97877	2.3854184	672000	1.4901161e-08	1.5355009	-0.006852482	-0.29402223	1.3475134	0.007362315	0.06325	127.0	1036.3769402503967	0.0	0.28125	0.0	0.0	0.0
42	38.601685	3.7765315	42.75432	26.493124	500.0	9.1438	2.5245428	11.339831	2.5579753	688000	1.1175871e-08	0.7954822	-0.0089255795	-0.12250835	1.3475134	0.006495644	0.0599375	127.0	1062.4037675857544	0.0	0.3125	0.0	0.0	0.0
43	39.952606	7.6272283	77.65205	27.065422	500.0	9.196144	2.5069542	11.476056	2.638261	704000	-3.7252903e-09	3.6029246	-0.0050677913	-0.3592127	1.3475134	0.006449799	0.05825	127.0	1086.4070427417755	0.0	0.28125	0.0	0.0	0.0
44	39.14698	3.6912737	48.148304	26.879065	500.0	9.476525	2.7371888	12.01687	2.5003695	720000	-1.4901161e-08	0.8016021	-0.009091498	-0.07116487	1.3475134	0.005246651	0.074687496	127.0	1109.7651958465576	0.0	0.1875	0.0	0.0	0.0
45	38.76651	3.9712303	44.684937	28.405294	500.0	9.38998	2.6237187	11.782339	2.4640958	736000	-2.3283064e-08	0.7517868	-0.008696197	-0.09765655	1.3475134	0.0048169727	0.0638125	127.0	1134.7046723365784	0.0	0.15625	0.0	0.0	0.0
46	39.043427	2.6661904	42.235073	32.6816	500.0	9.375668	2.7030785	11.594183	2.3949432	752000	-7.450581e-09	0.41337585	-0.008932566	-0.10189263	1.3475134	0.005652826	0.064687505	127.0	1160.927738904953	0.0	0.0625	0.0	0.0	0.0
47	42.052143	12.955222	112.38147	33.597065	500.0	9.418367	2.7321177	11.761633	2.4188375	768000	2.2351742e-08	7.6495337	-0.0057475166	-1.115845	1.3475134	0.010172932	0.091375	127.0	1188.8138282299042	0.0	0.1875	0.0	0.0	0.0
48	39.90084	2.9105206	44.23109	29.01155	500.0	9.931331	2.9390812	12.927638	2.3337793	784000	3.7252903e-09	0.520812	-0.009187186	-0.23767859	1.3475134	0.0057364022	0.06725	127.0	1214.547138929367	0.0	0.0	0.0	0.0	0.0
49	39.887386	2.919584	43.462353	27.410656	500.0	9.771154	2.8292897	12.4925585	2.426792	800000	8.381903e-09	0.28046525	-0.0080561545	-0.054226495	1.3475134	0.0060137184	0.067625	127.0	1240.5424184799194	0.0	0.0625	0.0	0.0	0.0
50	42.228695	11.5882225	98.36103	29.869123	500.0	9.795527	2.9051673	13.224938	2.2727273	816000	3.7252903e-09	6.341271	-0.005780318	-0.976187	1.3475134	0.0077310456	0.0696875	127.0	1262.8151214122772	0.0	0.25	0.0	0.0	0.0
51	46.829704	17.158844	106.07856	27.08385	500.0	10.175827	3.2317798	15.09598	2.2367	832000	2.2351742e-08	14.144421	-0.007400951	-2.9404466	1.3475134	0.007446986	0.08131249	127.0	1289.2900323867798	0.0	0.53125	0.0	0.0	0.0
