Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.23372133	0.1185157	0.5982498	0.07573591	500.0	0.0048108767	0.028882034	0.09446925	-0.063951075	16000	-1.8626451e-08	0.0022621304	-0.009148892	-0.0015237324	1.3564423	0.008436519	0.0869375	127.0	26.22511076927185	0.0	0.0	0.0	0.0	0.0
1	0.279157	0.16620961	0.9731058	0.07630623	500.0	0.047536097	0.01662058	0.11723299	0.008110933	32000	0.0	0.0014151027	-0.0078548305	-0.00044323952	1.3564423	0.009570726	0.0995625	127.0	46.25631284713745	0.0	0.0	0.0	0.0	0.0
2	0.6302966	0.27242267	1.1542976	0.2307042	500.0	0.06961083	0.016514963	0.12762088	0.025700923	48000	-1.8626451e-09	0.0066015082	-0.007621266	-0.0036557058	1.3564423	0.007194981	0.079375	127.0	67.25274395942688	0.0	0.0	0.0	0.0	0.0
3	0.81525874	0.3738442	1.795095	0.25702202	500.0	0.12556913	0.04709029	0.24241304	0.0019234456	64000	7.450581e-09	0.0070862127	-0.009122642	-0.0020788512	1.3564423	0.008029051	0.09725	127.0	91.1525948047638	0.0	0.0	0.0	0.0	0.0
4	1.4773664	0.77848583	3.9386165	0.5544803	500.0	0.19651611	0.04713428	0.345398	-0.014538363	80000	4.0978193e-08	0.030575585	-0.009127347	-0.016528979	1.3564423	0.008304617	0.092062496	127.0	113.94447493553162	0.0	0.0	0.0	0.0	0.0
5	2.9473913	1.5185734	7.5457525	1.1839981	500.0	0.38834637	0.08248579	0.61033964	0.05412211	96000	-2.6077032e-08	0.1233212	-0.00975612	-0.05386858	1.3564423	0.0069897985	0.090812504	127.0	135.7257595062256	0.0	0.0	0.0	0.0	0.0
6	5.9944596	3.100625	13.266963	1.2881916	500.0	0.73664886	0.16770926	1.2648041	0.15499598	112000	-1.3038516e-08	0.6791406	-0.008710155	-0.34408236	1.3564423	0.007414404	0.088750005	127.0	157.69780015945435	0.0	0.0	0.0	0.0	0.0
7	11.775936	6.193837	27.324743	2.8223522	500.0	1.6300002	0.4359421	2.9658358	0.20229883	128000	2.9802322e-08	2.8293881	-0.009414757	-1.4616773	1.3564423	0.005561939	0.0799375	127.0	180.44406533241272	0.0	0.0	0.0	0.0	0.0
8	17.911728	4.7583904	28.090534	7.8813224	500.0	3.14454	1.0447675	5.537639	0.20089896	144000	-2.9802322e-08	2.5141797	-0.012521785	-1.1969888	1.3564423	0.007531915	0.113125004	127.0	200.66207337379456	0.0	0.0	0.0	0.0	0.0
9	22.336666	5.92765	38.40145	10.482472	500.0	4.6160226	1.3625021	6.8446016	0.44229645	160000	5.5879354e-09	2.563124	-0.010318948	-0.82763374	1.3564423	0.0066797575	0.09275	127.0	226.6278281211853	0.0	0.0	0.0	0.0	0.0
