Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7659484	0.68053997	3.727024	0.14236568	500.0	0.10902814	0.013381111	0.13651578	0.06795596	16000	-1.4901161e-08	0.027669232	-0.004184285	-0.0076345406	1.3475134	0.005558673	0.0554375	127.0	26.141759395599365	0.0	0.0	0.0	0.0	0.0
1	1.0928779	0.6701716	2.8294387	0.20459062	500.0	0.19623676	0.057183985	0.35410193	0.049113512	32000	3.7252903e-09	0.028164737	-0.006447514	-0.008244426	1.3475134	0.0057412405	0.06525	127.0	51.07341122627258	0.0	0.0	0.0	0.0	0.0
2	1.8633028	1.110242	4.5438976	0.16927116	500.0	0.2909985	0.09764446	0.49518615	0.064363025	48000	7.4505806e-08	0.09170345	-0.005082336	-0.038300287	1.3475134	0.005117586	0.0535	127.0	76.9529013633728	0.0	0.0	0.0	0.0	0.0
3	4.573297	3.2908597	13.495912	0.3647166	500.0	0.5155585	0.21232398	0.96192837	0.037088543	64000	0.0	0.9027096	-0.0059424285	-0.4706742	1.3475134	0.006220723	0.055749997	127.0	100.65135097503662	0.0	0.0	0.0	0.0	0.0
4	5.2245173	3.6984236	12.793888	1.1284368	500.0	1.2533439	0.56850797	2.5933647	-0.2420115	80000	0.0	0.862026	-0.0066863215	-0.33608636	1.3475134	0.0072137476	0.0800625	127.0	123.28078126907349	0.0	0.0	0.0	0.0	0.0
5	7.668885	3.8602133	19.295074	1.658355	500.0	1.6743882	0.9109272	3.2318285	-0.3061815	96000	2.9802322e-08	0.9002839	-0.0075158523	-0.27761644	1.3475134	0.006612365	0.086687505	127.0	151.07101607322693	0.0	0.0	0.0	0.0	0.0
6	15.051013	5.0787797	25.500542	7.090235	500.0	2.4868565	1.2585782	4.788159	-0.56536514	112000	4.4703484e-08	2.9937391	-0.0078302175	-1.609257	1.3475134	0.0067928657	0.0801875	127.0	178.94834542274475	0.0	0.0	0.0	0.0	0.0
7	15.190996	4.271313	25.345757	4.2026024	500.0	4.1169972	1.7311479	6.4552774	-0.17422567	128000	-5.5879354e-09	1.1209614	-0.008083131	-0.10493373	1.3475134	0.0060567167	0.0670625	127.0	202.65086436271667	0.0	0.0	0.0	0.0	0.0
8	18.000061	10.783712	74.31115	6.990962	500.0	4.122113	1.8709289	6.836352	-0.7217192	144000	1.4901161e-08	6.637766	-0.005514104	-0.71659374	1.3475134	0.008836629	0.06793749	127.0	228.209894657135	0.0	0.03125	0.0	0.0	0.0
9	17.194878	4.82139	27.475384	9.743026	500.0	4.8665266	1.9850061	7.422261	-0.7645725	160000	3.7252903e-09	2.254871	-0.006723295	-0.40605322	1.3475134	0.004517212	0.04625	127.0	252.53694462776184	0.0	0.03125	0.0	0.0	0.0
10	19.632061	4.409872	26.615576	8.613188	500.0	4.8112235	1.600694	7.0551157	0.23424596	176000	-7.450581e-09	1.793483	-0.0074831243	-0.10785642	1.3475134	0.005349227	0.051625	127.0	293.53908133506775	0.0	0.0625	0.0	0.0	0.0
11	19.686945	4.790799	31.569685	11.633667	500.0	5.1908712	1.6849418	7.6372967	-0.011452645	192000	2.9802322e-08	2.0823858	-0.0070031052	-0.4906721	1.3475134	0.0051911226	0.052875	127.0	325.5427095890045	0.0	0.03125	0.0	0.0	0.0
12	21.376225	3.7903993	28.834532	12.875839	500.0	5.2907186	1.8072783	8.148474	0.0435313	208000	5.5879354e-09	1.5253568	-0.0077039404	-0.08276063	1.3475134	0.0068654353	0.0520625	127.0	352.32434487342834	0.0	0.0	0.0	0.0	0.0
13	21.371193	3.0935657	26.134802	14.941677	500.0	5.6841455	1.9040949	8.230789	-0.031008363	224000	1.3969839e-08	1.3569777	-0.0069257407	-0.15264994	1.3475134	0.005580701	0.0453125	127.0	376.9712805747986	0.0	0.0	0.0	0.0	0.0
14	22.294102	5.0173087	32.024975	12.060947	500.0	5.4426723	2.0547075	8.477051	-0.40553325	240000	7.450581e-09	1.7112179	-0.007188004	-0.20932786	1.3475134	0.0038148644	0.041500002	127.0	401.76629734039307	0.0	0.0	0.0	0.0	0.0
15	24.078724	5.4009213	38.895924	17.252493	500.0	5.685092	2.1676192	9.263436	-0.05893278	256000	0.0	1.5783291	-0.0071782535	-0.2501539	1.3475134	0.005283735	0.0548125	127.0	428.5246841907501	0.0	0.0	0.0	0.0	0.0
16	22.758867	3.9221516	36.883083	15.961716	500.0	6.313591	2.4307394	10.059736	-0.30196083	272000	1.4901161e-08	1.2692525	-0.0061223116	-0.16446322	1.3475134	0.005294598	0.0450625	127.0	454.635023355484	0.0	0.0	0.0	0.0	0.0
17	24.23296	3.0759413	32.223866	18.37473	500.0	6.064598	2.3602862	9.673312	-0.13957429	288000	7.450581e-09	1.1287069	-0.007811795	-0.1200696	1.3475134	0.007876839	0.0644375	127.0	479.3578894138336	0.0	0.0	0.0	0.0	0.0
18	25.181053	4.4145274	36.358856	18.857948	500.0	6.419892	2.4218495	9.447279	-0.14379196	304000	2.2351742e-08	1.4584153	-0.0069918223	-0.047111597	1.3475134	0.006753668	0.053562503	127.0	506.15106081962585	0.0	0.0	0.0	0.0	0.0
19	24.381947	5.743482	36.903847	11.0929575	500.0	6.62597	2.3756447	9.296876	0.17868066	320000	-1.1175871e-08	2.6442485	-0.007059837	-0.5405941	1.3475134	0.0066245054	0.0465625	127.0	531.9254541397095	0.0	0.0	0.0	0.0	0.0
20	25.430672	14.575126	98.6639	9.272039	500.0	6.179701	2.0420883	8.724119	0.60543454	336000	5.122274e-09	10.497939	-0.005479763	-1.183197	1.3475134	0.004882861	0.04925	127.0	557.7474732398987	0.0	0.0625	0.0	0.0	0.0
21	24.720428	5.1092434	36.164394	11.749603	500.0	6.6136847	2.257877	9.794995	0.0540462	352000	1.1175871e-08	2.4143007	-0.008233279	-0.5553204	1.3475134	0.0071050045	0.0645625	127.0	582.3975524902344	0.0	0.0	0.0	0.0	0.0
22	24.154129	4.8619213	34.292267	12.214696	500.0	6.2234297	2.022274	9.264876	0.07409777	368000	0.0	1.8760381	-0.008392023	-0.26075956	1.3475134	0.0076416135	0.0610625	127.0	608.5179464817047	0.0	0.0	0.0	0.0	0.0
23	26.378523	4.432194	38.53647	17.492481	500.0	6.3696475	2.1259534	9.169396	0.25042936	384000	0.0	1.47995	-0.0069226976	-0.28282127	1.3475134	0.0065315044	0.057062503	127.0	633.633017539978	0.0	0.0	0.0	0.0	0.0
24	28.90908	5.573349	41.24249	21.096067	500.0	6.79954	2.2962534	9.39266	0.22829339	400000	-1.8626451e-08	1.8218703	-0.008035545	-0.31144303	1.3475134	0.00646324	0.0585625	127.0	661.0166218280792	0.0	0.0	0.0	0.0	0.0
25	27.419971	7.6456013	49.18992	12.504717	500.0	7.064579	2.4606586	9.8997135	0.5946473	416000	3.7252903e-08	2.8093967	-0.007699524	-0.4582455	1.3475134	0.005404557	0.04975	127.0	689.0456538200378	0.0	0.0	0.0	0.0	0.0
26	28.846285	4.6155806	39.46629	20.55396	500.0	6.839116	2.4474907	10.174525	0.88935155	432000	7.450581e-09	1.4732139	-0.0072949342	-0.217689	1.3475134	0.007073837	0.06075	127.0	718.115177154541	0.0	0.0	0.0	0.0	0.0
27	27.65952	5.318511	47.35872	21.533642	500.0	6.841744	2.4710383	10.348154	0.9458599	448000	0.0	1.1308124	-0.006563274	-0.18405092	1.3475134	0.0048924284	0.056874998	127.0	746.3920209407806	0.0	0.03125	0.0	0.0	0.0
28	29.355309	5.1024947	41.501045	20.018372	500.0	6.834064	2.584032	10.6326	0.890485	464000	-7.450581e-09	1.3047192	-0.0072195083	-0.19600502	1.3475134	0.006483592	0.056125	127.0	773.5081505775452	0.0	0.0625	0.0	0.0	0.0
29	27.806194	4.8662796	40.07428	16.851006	500.0	6.925731	2.530309	10.752569	1.0571952	480000	1.3038516e-08	1.3395958	-0.008102225	-0.2740069	1.3475134	0.0059858696	0.055	127.0	801.3332006931305	0.0	0.0	0.0	0.0	0.0
30	27.62209	6.2148166	42.420246	13.595263	500.0	6.6279325	2.509114	10.908297	0.49639708	496000	0.0	1.4394865	-0.009229276	-0.4077464	1.3475134	0.007865352	0.072375	127.0	829.6102447509766	0.0	0.0	0.0	0.0	0.0
