Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7534967	0.6578038	3.553932	0.1467855	500.0	0.109601565	0.0135152545	0.13723536	0.06796704	16000	1.4901161e-08	0.025675584	-0.0042642085	-0.0070577674	1.3475134	0.0055911858	0.055	127.0	28.14834713935852	0.0	0.0	0.0	0.0	0.0
1	1.0552316	0.6532368	2.8379443	0.19910824	500.0	0.19495377	0.056566205	0.3543493	0.052461036	32000	-4.0978193e-08	0.025913019	-0.0064079235	-0.0074247182	1.3475134	0.005820066	0.066	127.0	50.50473189353943	0.0	0.0	0.0	0.0	0.0
2	1.7955506	1.0439811	4.07311	0.16574614	500.0	0.2853078	0.09679052	0.49869168	0.06689972	48000	2.9802322e-08	0.08123925	-0.005163953	-0.03446739	1.3475134	0.005180899	0.0555	127.0	70.32442879676819	0.0	0.0	0.0	0.0	0.0
3	4.4920626	3.390523	14.090653	0.34726787	500.0	0.50212485	0.20509477	0.95908505	0.036792576	64000	2.2351742e-08	0.9306218	-0.005764886	-0.44746208	1.3475134	0.0059889643	0.055687502	127.0	95.19789552688599	0.0	0.0	0.0	0.0	0.0
4	5.177483	3.5814438	11.971695	0.59008163	500.0	1.2390219	0.56066453	2.4493685	-0.16567387	80000	-7.450581e-09	0.772537	-0.0066122455	-0.3008917	1.3475134	0.00780383	0.0813125	127.0	118.01338577270508	0.0	0.0	0.0	0.0	0.0
5	7.80128	3.8044171	19.796282	1.5729501	500.0	1.6782771	0.91954374	3.413726	-0.37098956	96000	-3.3527613e-08	0.8969911	-0.007580175	-0.29773998	1.3475134	0.006361182	0.085	127.0	139.326025724411	0.0	0.0	0.0	0.0	0.0
6	15.323331	4.9963636	26.463655	7.154368	500.0	2.5267115	1.2735479	4.8847365	-0.46173644	112000	7.4505806e-08	3.0204952	-0.008275246	-1.6654528	1.3475134	0.007115835	0.0865625	127.0	162.20485281944275	0.0	0.0	0.0	0.0	0.0
7	14.945606	4.9188595	28.186153	3.4410129	500.0	4.218706	1.8018254	6.632225	-0.3870186	128000	1.8626451e-09	1.5150609	-0.008297596	-0.17581643	1.3475134	0.005541706	0.060875	127.0	183.61539793014526	0.0	0.0	0.0	0.0	0.0
8	16.945103	10.250708	71.20449	5.570501	500.0	4.1286707	1.8015398	6.6990767	-0.5372936	144000	0.0	5.6965213	-0.0050816443	-0.45229906	1.3475134	0.008577212	0.070750006	127.0	206.2748420238495	0.0	0.03125	0.0	0.0	0.0
9	17.235432	4.7414937	27.441175	10.514338	500.0	4.6232176	1.8632528	7.1465664	-0.42948842	160000	1.4901161e-08	1.8332206	-0.0067376415	-0.28780764	1.3475134	0.005288749	0.052875	127.0	230.8822808265686	0.0	0.03125	0.0	0.0	0.0
10	20.511456	4.5944653	29.735744	9.36312	500.0	4.7929196	1.572967	7.132815	0.3386169	176000	1.4901161e-08	2.005419	-0.006428696	-0.1897414	1.3475134	0.005647215	0.049000002	127.0	253.85113334655762	0.0	0.0625	0.0	0.0	0.0
11	21.981884	10.249631	72.80345	11.493812	500.0	5.3900194	1.7785722	7.840042	0.03480021	192000	2.3050234e-08	5.341749	-0.0054500173	-0.6983961	1.3475134	0.005028003	0.049375	127.0	280.1550431251526	0.0	0.03125	0.0	0.0	0.0
12	20.960878	3.5861728	27.59311	13.153385	500.0	5.782426	2.0306284	9.107317	-0.3474012	208000	-2.2351742e-08	1.7442007	-0.008119845	-0.30226913	1.3475134	0.007548414	0.054	127.0	301.70384454727173	0.0	0.0	0.0	0.0	0.0
13	20.541502	3.9358544	28.95448	13.229952	500.0	5.8976426	2.0181837	8.66434	-0.03863369	224000	0.0	1.7719572	-0.006178771	-0.4087034	1.3475134	0.003502102	0.0428125	127.0	325.5472013950348	0.0	0.03125	0.0	0.0	0.0
