Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20033143	0.1179552	0.63267314	0.06254548	500.0	0.12390976	0.03142094	0.15349342	0.024394602	16000	5.5879354e-08	0.005843574	-0.007374744	-0.0050047403	1.3475134	0.0054101287	0.065625004	127.0	29.151089191436768	0.0	0.0	0.0	0.0	0.0
1	0.2514445	0.17058834	0.98182267	0.07332977	500.0	0.07463253	0.02055186	0.14104702	0.018955328	32000	-9.313226e-09	0.0014909888	-0.0077253124	-0.00048731756	1.3475134	0.0071310857	0.0979375	127.0	57.14239692687988	0.0	0.0	0.0	0.0	0.0
2	0.41413748	0.2608628	1.2512912	0.07208798	500.0	0.08605422	0.031262226	0.15726024	0.021692365	48000	0.0	0.0037362152	-0.0066239666	-0.0015440099	1.3475134	0.0064005703	0.09025	127.0	80.17121362686157	0.0	0.0	0.0	0.0	0.0
3	1.2464519	0.62765884	2.8871639	0.18706039	500.0	0.13651757	0.054102242	0.26269186	0.008645631	64000	1.1175871e-08	0.046784885	-0.0052026547	-0.028252522	1.3475134	0.005707926	0.060062498	127.0	100.7396776676178	0.0	0.0	0.0	0.0	0.0
4	2.2840834	1.639201	6.9289565	0.3889805	500.0	0.32868046	0.14173238	0.64130384	-0.0038680732	80000	5.5879354e-09	0.20594743	-0.005224575	-0.10488742	1.3475134	0.00725009	0.07275	127.0	126.60479807853699	0.0	0.0	0.0	0.0	0.0
5	3.842517	2.2274082	9.181863	1.0227847	500.0	0.6847039	0.34726334	1.403124	-0.1666406	96000	-7.450581e-09	0.35241705	-0.0068658865	-0.15330054	1.3475134	0.007217476	0.087625004	127.0	148.61537313461304	0.0	0.0	0.0	0.0	0.0
6	6.3826466	4.8045454	20.652046	0.5193322	500.0	1.112194	0.61776084	2.3885238	-0.24134566	112000	-4.0978193e-08	1.4192746	-0.0061169574	-0.60418123	1.3475134	0.008235348	0.086812496	127.0	172.87326955795288	0.0	0.0	0.0	0.0	0.0
7	4.418401	3.534145	12.51674	0.1864749	500.0	1.5776519	1.1765374	4.717511	-0.9556708	128000	2.7008355e-08	0.50341445	-0.008135472	-0.17068924	1.3475134	0.006772699	0.06725	127.0	194.02310800552368	0.0	0.0	0.0	0.0	0.0
8	6.838219	4.061361	14.832282	0.43796614	500.0	2.1395435	1.5654598	5.182617	-1.270304	144000	7.450581e-09	0.8120086	-0.0075033507	-0.16307622	1.3475134	0.0066840127	0.063875005	127.0	215.7671570777893	0.0	0.0	0.0	0.0	0.0
9	7.627898	4.0941014	18.3849	1.5646077	500.0	2.5840528	1.6888034	5.5687943	-0.9974747	160000	7.450581e-09	0.9635565	-0.0075034993	-0.27409822	1.3475134	0.0058151144	0.061499998	127.0	242.93248534202576	0.0	0.0	0.0	0.0	0.0
10	10.252987	7.8839107	35.81603	1.7571352	500.0	2.6923902	1.4868797	5.4025607	-0.4786049	176000	0.0	3.2686205	-0.0064527197	-0.811924	1.3475134	0.006747284	0.0615	127.0	269.9210753440857	0.0	0.03125	0.0	0.0	0.0
11	14.631363	7.2328897	28.272161	2.6885426	500.0	3.429082	1.6317774	6.197471	-0.47110033	192000	-2.9802322e-08	2.413691	-0.008282468	-0.6663533	1.3475134	0.0064278548	0.0799375	127.0	294.4370872974396	0.0	0.0	0.0	0.0	0.0
12	16.888496	8.637442	31.394896	3.062093	500.0	4.2618823	1.8088176	7.136221	-0.41033453	208000	-2.9802322e-08	3.3378277	-0.006667832	-1.0844984	1.3475134	0.0055822786	0.06025	127.0	320.14358353614807	0.0	0.0	0.0	0.0	0.0
13	18.578238	6.6715035	33.36415	5.058684	500.0	4.827977	2.273431	8.315874	-0.90473557	224000	2.3283064e-08	1.8299572	-0.0075136833	-0.36158678	1.3475134	0.005587756	0.06475	127.0	343.43588757514954	0.0	0.0	0.0	0.0	0.0
14	19.068066	8.208599	30.879972	0.89655674	500.0	5.215587	2.375028	9.247344	-0.8194567	240000	0.0	2.208944	-0.0079493	-0.5796166	1.3475134	0.0049686814	0.060125	127.0	366.06189012527466	0.0	0.0	0.0	0.0	0.0
15	18.02317	8.061518	31.742779	2.2705982	500.0	5.2910333	2.6190803	9.920455	-1.0599905	256000	-1.4901161e-08	2.2034523	-0.008402802	-0.62099016	1.3475134	0.004807703	0.069875	127.0	391.9544765949249	0.0	0.0	0.0	0.0	0.0
16	19.52613	8.40776	31.477062	3.3871052	500.0	5.3941393	2.8271716	10.366683	-1.3490443	272000	7.450581e-09	1.9464707	-0.0071293735	-0.40352136	1.3475134	0.0061352663	0.05	127.0	417.64936113357544	0.0	0.0	0.0	0.0	0.0
17	20.52639	5.5056643	31.20215	8.311267	500.0	5.704069	2.8949807	11.071215	-0.8333966	288000	1.0244548e-08	1.5084761	-0.0075436165	-0.162922	1.3475134	0.007951968	0.0651875	127.0	439.6057276725769	0.0	0.0	0.0	0.0	0.0
18	22.573984	6.7303877	35.763306	10.258043	500.0	6.24184	2.9600716	10.57249	-0.9303141	304000	4.656613e-09	2.1918736	-0.0066451663	-0.58534443	1.3475134	0.0059217736	0.049	127.0	462.35712909698486	0.0	0.0	0.0	0.0	0.0
19	22.061377	9.119928	35.670177	3.573018	500.0	6.3288546	2.396166	10.087452	0.3521242	320000	-3.7252903e-09	3.831122	-0.005987319	-1.304205	1.3475134	0.003983809	0.0410625	127.0	489.11886978149414	0.0	0.0	0.0	0.0	0.0
20	19.25002	8.691376	34.513203	4.410989	500.0	5.5825562	2.2073789	9.592532	0.23238748	336000	-1.1175871e-08	2.914999	-0.006957346	-1.4215695	1.3475134	0.0059229922	0.054750003	127.0	511.5148777961731	0.0	0.03125	0.0	0.0	0.0
21	25.65745	7.837733	35.671753	9.712389	500.0	6.1940293	2.435441	9.707524	0.27835962	352000	-9.313226e-09	1.496115	-0.0072413683	-0.33938557	1.3475134	0.004653306	0.0536875	127.0	535.3053154945374	0.0	0.0	0.0	0.0	0.0
22	23.644396	7.6360593	34.79666	4.273183	500.0	6.6111903	2.4998374	10.229081	0.3455171	368000	7.450581e-09	2.5279639	-0.0061824513	-0.61461806	1.3475134	0.0042915666	0.0379375	127.0	560.5675067901611	0.0	0.0	0.0	0.0	0.0
23	25.46375	8.835507	37.049946	2.8938127	500.0	6.248012	2.3226519	9.670793	0.6939163	384000	-2.2351742e-08	2.6307588	-0.004862289	-0.52432406	1.3475134	0.0036324705	0.040375	127.0	585.8305330276489	0.0	0.03125	0.0	0.0	0.0
24	25.9986	5.953856	34.468666	14.851155	500.0	6.6358137	2.4538682	12.118409	0.41284126	400000	-1.1175871e-08	1.1353776	-0.006204524	-0.122947656	1.3475134	0.006063641	0.049812503	127.0	610.074168920517	0.0	0.0	0.0	0.0	0.0
25	26.218113	7.1108627	41.091488	10.750408	500.0	6.651064	2.6430943	12.268511	0.10957582	416000	3.7252903e-09	1.6387696	-0.0052054087	-0.15441014	1.3475134	0.005669205	0.0399375	127.0	633.811619758606	0.0	0.03125	0.0	0.0	0.0
26	26.613571	6.961243	35.4555	3.061015	500.0	6.467258	2.3693664	11.110845	0.6853466	432000	1.1175871e-08	1.7649293	-0.006419519	-0.31384438	1.3475134	0.004688762	0.0451875	127.0	659.7996826171875	0.0	0.0	0.0	0.0	0.0
27	26.349802	5.71716	34.284718	14.371735	500.0	6.5951214	2.3924885	10.072776	0.36450192	448000	0.0	1.130676	-0.008449353	-0.12924469	1.3475134	0.0060159243	0.056999996	127.0	684.4640045166016	0.0	0.0	0.0	0.0	0.0
28	27.490616	5.6271772	38.08874	19.129715	500.0	6.559428	2.6521518	11.947646	0.18394591	464000	0.0	0.7912898	-0.0061786706	-0.08432684	1.3475134	0.005591974	0.0585	127.0	707.8263628482819	0.0	0.0	0.0	0.0	0.0
29	30.353333	4.3562875	36.64427	18.580393	500.0	7.2105174	2.6064334	10.8305435	0.76451826	480000	1.4901161e-08	0.78835034	-0.00646272	-0.12158094	1.3475134	0.0064316625	0.064500004	127.0	732.0159783363342	0.0	0.0	0.0	0.0	0.0
30	26.400898	6.0745816	35.178528	15.110617	500.0	7.260115	2.594981	12.81975	0.82838523	496000	1.4901161e-08	2.0761523	-0.007984366	-0.91204333	1.3475134	0.006637491	0.0643125	127.0	754.6016104221344	0.0	0.0625	0.0	0.0	0.0
31	27.202984	7.661376	42.98059	10.59995	500.0	6.705327	2.3869889	10.135997	0.8327888	512000	-7.450581e-09	2.2750754	-0.007583503	-0.46266228	1.3475134	0.0070898593	0.0615625	127.0	786.5939922332764	0.0	0.03125	0.0	0.0	0.0
32	25.855766	7.425183	36.921883	9.227385	500.0	6.6608777	2.3968697	10.328882	0.82738674	528000	-3.7252903e-08	1.5279142	-0.007635713	-0.518976	1.3475134	0.0056986157	0.050312497	127.0	821.1774842739105	0.0	0.0	0.0	0.0	0.0
33	27.916225	6.2476554	36.997097	12.179616	500.0	6.840387	2.4109879	10.712943	0.79334295	544000	1.5832484e-08	1.1164261	-0.007626479	-0.13118477	1.3475134	0.004730571	0.0585	127.0	854.4044349193573	0.0	0.03125	0.0	0.0	0.0
34	27.807371	6.5079503	36.453262	15.410435	500.0	7.176864	2.4787514	10.635862	1.2516235	560000	-1.8626451e-08	1.2895514	-0.0068854503	-0.23591895	1.3475134	0.0050834203	0.058500003	127.0	879.581166267395	0.0	0.09375	0.0	0.0	0.0
35	26.697582	6.714783	38.362885	15.87391	500.0	6.7498097	2.5880363	10.710826	1.0220717	576000	9.313226e-09	0.8436267	-0.0065412526	-0.10091921	1.3475134	0.0052211285	0.057	127.0	906.2858273983002	0.0	0.0	0.0	0.0	0.0
36	25.803808	6.993504	39.646164	2.0504482	500.0	6.5947204	2.52457	11.697771	1.1366936	592000	-1.4901161e-08	2.2664216	-0.006000419	-0.6067892	1.3475134	0.0067580077	0.043125	127.0	934.4075210094452	0.0	0.0625	0.0	0.0	0.0
37	28.252071	6.2095323	43.909626	16.403034	500.0	6.957354	2.7632737	11.747539	1.2024609	608000	0.0	1.1474838	-0.0050521726	-0.32362378	1.3475134	0.0038551888	0.043187503	127.0	961.1603400707245	0.0	0.0	0.0	0.0	0.0
38	31.6473	3.8608615	37.110596	21.845423	500.0	7.6545205	2.824772	11.832083	1.2344778	624000	1.3038516e-08	0.7026127	-0.0068440717	-0.15665418	1.3475134	0.005956942	0.062437497	127.0	985.9552807807922	0.0	0.0	0.0	0.0	0.0
39	29.44993	4.9328623	38.344547	18.809696	500.0	7.294122	2.5961564	11.216112	1.3350359	640000	1.8626451e-09	0.5018685	-0.0063672513	-0.031112969	1.3475134	0.0062722024	0.058624998	127.0	1009.051985502243	0.0	0.0625	0.0	0.0	0.0
40	28.216644	4.601096	36.520966	13.708475	500.0	7.6216726	2.5581899	12.437977	1.2610817	656000	-7.450581e-09	1.2892144	-0.0075124702	-0.47455397	1.3475134	0.006764219	0.051437497	127.0	1032.7400109767914	0.0	0.0	0.0	0.0	0.0
41	29.357756	4.959157	35.693077	16.989056	500.0	7.0583057	2.4995773	10.67078	1.2832215	672000	0.0	0.5879381	-0.006478537	-0.04826072	1.3475134	0.0063357824	0.054125004	127.0	1058.4076473712921	0.0	0.0	0.0	0.0	0.0
42	31.711681	3.684819	36.444675	20.242023	500.0	7.4771376	2.6790404	11.214155	1.1991956	688000	-3.7252903e-08	0.5949371	-0.005616844	-0.20606314	1.3475134	0.004981199	0.049062498	127.0	1084.2012372016907	0.0	0.0	0.0	0.0	0.0
43	29.90371	5.506172	36.971577	17.22105	500.0	7.713714	2.6115735	10.8104	1.5218275	704000	2.2351742e-08	0.5253066	-0.007446967	-0.09660273	1.3475134	0.006293634	0.050937504	127.0	1109.8670687675476	0.0	0.0	0.0	0.0	0.0
44	30.909733	5.2364917	36.746334	16.715002	500.0	7.7918024	2.7675192	11.42702	1.2019801	720000	7.450581e-09	0.5340627	-0.0056377454	-0.07023752	1.3475134	0.004068926	0.0430625	127.0	1133.1795558929443	0.0	0.0	0.0	0.0	0.0
45	26.867683	6.56418	37.013607	15.668134	500.0	7.119529	2.4689505	11.014995	1.190342	736000	1.1175871e-08	1.1534814	-0.007907698	-0.41549817	1.3475134	0.007850458	0.057000004	127.0	1157.054872751236	0.0	0.0625	0.0	0.0	0.0
