Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.21274635	0.14625882	0.74181265	0.04574662	500.0	0.032110352	0.027670713	0.11984523	-0.041406363	16000	1.3038516e-08	0.0015819978	-0.0082081165	-0.00076039665	1.3564423	0.008049714	0.080125004	127.0	27.912537813186646	0.0	0.0	0.0	0.0	0.0
1	0.30353433	0.19422206	0.89503175	0.06743695	500.0	0.049799316	0.015794918	0.11368027	0.008847859	32000	9.313226e-10	0.0019284037	-0.007448689	-0.0006937828	1.3564423	0.008514893	0.087875	127.0	49.00803279876709	0.0	0.0	0.0	0.0	0.0
2	0.5284711	0.32767066	1.6998087	0.107908584	500.0	0.070997156	0.021778267	0.14270677	0.0050638355	48000	-7.450581e-09	0.0051985187	-0.008671697	-0.0022960324	1.3564423	0.008884993	0.1018125	127.0	72.28696250915527	0.0	0.0	0.0	0.0	0.0
3	0.80091023	0.379134	2.150858	0.22584972	500.0	0.13514686	0.050083086	0.29928848	-0.0076620467	64000	3.3527613e-08	0.0069386996	-0.010206087	-0.0020044397	1.3564423	0.009125679	0.104375005	127.0	96.59179759025574	0.0	0.0	0.0	0.0	0.0
4	1.6348739	0.7237557	3.4011116	0.46068126	500.0	0.24176472	0.05057558	0.38830122	0.11569038	80000	7.450581e-09	0.03634841	-0.008696318	-0.018541235	1.3564423	0.008051935	0.0799375	127.0	117.4666166305542	0.0	0.0	0.0	0.0	0.0
5	2.4294152	1.0109116	4.048541	0.5309499	500.0	0.38054588	0.07439013	0.5464852	0.08417736	96000	5.2154064e-08	0.058646567	-0.010415923	-0.024352526	1.3564423	0.007370626	0.0968125	127.0	140.42743825912476	0.0	0.0	0.0	0.0	0.0
6	6.4022703	4.1473618	19.073324	1.6357162	500.0	0.6364539	0.15417024	1.0744883	0.15963873	112000	3.1664968e-08	1.2543225	-0.0070221326	-0.6058049	1.3564423	0.0066108364	0.072	127.0	164.45955729484558	0.0	0.0	0.0	0.0	0.0
7	12.154577	5.6940827	20.602062	2.6672451	500.0	1.7757571	0.5111361	3.3689594	0.20995863	128000	8.381903e-09	2.4467747	-0.008276862	-1.1831516	1.3564423	0.005698619	0.0695	127.0	188.52120518684387	0.0	0.0	0.0	0.0	0.0
8	16.714905	4.825458	28.332098	6.680233	500.0	3.2401915	1.0983094	5.626137	0.08937178	144000	-2.6077032e-08	2.2344112	-0.010101611	-0.73630726	1.3564423	0.00713218	0.0910625	127.0	211.8996021747589	0.0	0.0	0.0	0.0	0.0
9	20.119265	5.2383246	32.32423	9.882973	500.0	4.4291096	1.2544035	6.504856	0.48713645	160000	5.5879354e-09	1.9713981	-0.008883081	-0.24961704	1.3564423	0.0063468707	0.076562494	127.0	233.06876277923584	0.0	0.03125	0.0	0.0	0.0
10	20.181799	4.407991	30.131659	13.831475	500.0	5.235007	1.3198133	6.9674807	0.84821635	176000	-7.450581e-09	1.8629229	-0.008352377	-0.27693045	1.3564423	0.006987754	0.0693125	127.0	256.88290143013	0.0	0.0	0.0	0.0	0.0
11	24.292818	5.203899	34.92384	15.982061	500.0	5.00684	0.99387896	6.385604	1.5475302	192000	5.5879354e-09	2.5793655	-0.00785974	-0.44317234	1.3564423	0.0072479513	0.07075	127.0	279.3863959312439	0.0	0.0	0.0	0.0	0.0
12	28.033115	4.760263	41.198475	18.67292	500.0	5.525051	0.7908907	6.4614964	1.8459245	208000	1.1175871e-08	2.6559567	-0.008349713	-0.5508634	1.3564423	0.0069849407	0.067375004	127.0	300.62492513656616	0.0	0.0	0.0	0.0	0.0
13	29.55945	5.15495	39.72687	21.897266	500.0	6.1850624	0.6221659	6.80514	2.171014	224000	1.1175871e-08	1.9889159	-0.008484611	-0.16895008	1.3564423	0.0069759516	0.066375	127.0	325.24812936782837	0.0	0.0	0.0	0.0	0.0
14	30.260292	6.6979423	39.301327	18.216463	500.0	6.5507755	0.78311914	7.287094	1.9253669	240000	0.0	2.4039154	-0.008412121	-0.10267868	1.3564423	0.007101965	0.065125	127.0	348.7862973213196	0.0	0.03125	0.0	0.0	0.0
15	34.198524	6.5444856	44.715626	23.181213	500.0	6.7276	0.7869927	7.4625516	2.1593587	256000	-5.2154064e-08	3.0910232	-0.007995307	-0.48309562	1.3564423	0.0057724807	0.0540625	127.0	371.5602672100067	0.0	0.125	0.0	0.0	0.0
16	32.67778	6.052587	45.447754	21.92961	500.0	7.359993	0.6862872	8.017333	3.022245	272000	-7.450581e-09	2.4493484	-0.008417781	-0.17961533	1.3564423	0.0058023334	0.064375	127.0	394.62904596328735	0.0	0.03125	0.0	0.0	0.0
17	36.689087	5.4923205	46.861164	22.910994	500.0	7.16783	0.6326797	7.8843875	3.6976442	288000	3.3527613e-08	2.4004765	-0.007284499	-0.60357463	1.3564423	0.004067469	0.05	127.0	416.75709867477417	0.0	0.0	0.0	0.0	0.0
18	34.603214	6.053012	46.48364	22.684332	500.0	7.643875	0.76161724	8.784256	3.7002068	304000	-1.6763806e-08	2.010884	-0.008655254	-0.16850153	1.3564423	0.0076266583	0.0670625	127.0	438.6392958164215	0.0	0.0625	0.0	0.0	0.0
19	36.624794	5.7117224	46.374283	21.085129	500.0	7.4009376	0.85476756	8.729912	3.1987824	320000	-3.7252903e-08	1.8887455	-0.00965798	-0.17567378	1.3564423	0.005566893	0.0738125	127.0	461.155925989151	0.0	0.03125	0.0	0.0	0.0
20	38.407646	5.503165	48.61816	24.576069	500.0	7.929119	0.8744628	8.989732	3.8015542	336000	2.2351742e-08	1.7452908	-0.009940775	-0.13563469	1.3564423	0.006396207	0.068124995	127.0	484.9074082374573	0.0	0.0625	0.0	0.0	0.0
21	40.08249	5.471048	46.805832	27.057316	500.0	8.304386	0.8010025	9.204455	4.025507	352000	-1.4901161e-08	1.3958576	-0.009016663	-0.19907984	1.3564423	0.005669122	0.061499998	127.0	509.29383993148804	0.0	0.0625	0.0	0.0	0.0
22	37.915535	4.6868563	47.24333	28.248652	500.0	8.546623	0.9625894	9.810867	3.757868	368000	0.0	1.3686576	-0.007921558	-0.24262232	1.3564423	0.0064780507	0.0590625	127.0	537.2156510353088	0.0	0.0625	0.0	0.0	0.0
23	39.852196	4.657493	50.488895	30.640303	500.0	8.261225	0.8638915	9.458171	4.3194165	384000	2.2351742e-08	1.3188007	-0.009179617	-0.13715272	1.3564423	0.0054748766	0.067375004	127.0	561.3139469623566	0.0	0.0625	0.0	0.0	0.0
24	38.16298	6.703069	49.160934	24.782364	500.0	8.366255	0.9235449	9.880669	4.4708943	400000	0.0	1.975733	-0.008499071	-0.20414321	1.3564423	0.008299433	0.0710625	127.0	585.3280158042908	0.0	0.15625	0.0	0.0	0.0
25	39.3869	6.990963	51.697186	25.790813	500.0	8.1737385	0.8610631	9.528331	4.4673696	416000	-7.450581e-09	2.2949784	-0.00993533	-0.23249945	1.3564423	0.0065076626	0.0733125	127.0	608.5730810165405	0.0	0.09375	0.0	0.0	0.0
26	41.514652	4.9232035	48.092403	28.933758	500.0	8.2302265	0.8937919	9.739002	4.8809056	432000	0.0	1.2161646	-0.00944998	-0.44809294	1.3564423	0.0071703875	0.0759375	127.0	632.545572757721	0.0	0.125	0.0	0.0	0.0
27	42.510063	6.1304784	50.90916	29.279345	500.0	9.11185	1.2954046	10.789016	4.4787865	448000	7.450581e-09	1.4928389	-0.00932437	-0.19795667	1.3564423	0.0064634182	0.066062495	127.0	657.6496124267578	0.0	0.03125	0.0	0.0	0.0
28	43.672573	5.387671	51.97128	31.306356	500.0	9.094797	0.96815276	10.569598	5.180926	464000	-2.2351742e-08	1.0548761	-0.007332436	-0.13480788	1.3564423	0.005837045	0.0496875	127.0	682.2978181838989	0.0	0.0625	0.0	0.0	0.0
29	43.239914	5.0474544	50.219894	30.455183	500.0	9.271284	1.0577142	10.925486	5.155026	480000	-3.7252903e-09	0.8570615	-0.007942842	-0.09296677	1.3564423	0.0054021943	0.065625	127.0	706.789323091507	0.0	0.09375	0.0	0.0	0.0
30	45.054733	4.033391	50.339317	34.545963	500.0	9.441625	1.1615403	11.022775	5.11589	496000	-1.4901161e-08	0.58306897	-0.010495758	-0.09357128	1.3564423	0.0063443594	0.07843751	127.0	732.8281614780426	0.0	0.1875	0.0	0.0	0.0
31	45.01353	4.5744877	51.742332	32.998627	500.0	9.800956	1.1102641	11.22798	5.403678	512000	2.0489097e-08	1.0648801	-0.009263324	-0.17687328	1.3564423	0.0068137404	0.0721875	127.0	755.2596502304077	0.0	0.0625	0.0	0.0	0.0
32	45.202137	4.396798	50.44687	34.449432	500.0	9.641707	0.89032805	10.810925	5.5607104	528000	-1.8626451e-08	0.8855666	-0.010242	-0.10609385	1.3564423	0.0071058916	0.080375	127.0	778.1527004241943	0.0	0.15625	0.0	0.0	0.0
33	46.475113	4.646924	51.909283	35.303196	500.0	9.792488	0.8200555	10.758139	5.675101	544000	-2.9802322e-08	0.8627673	-0.008097408	-0.15704966	1.3564423	0.0050037084	0.0588125	127.0	802.0963559150696	0.0	0.0625	0.0	0.0	0.0
34	47.7204	3.5419002	53.01433	40.487736	500.0	10.0356865	0.8617332	11.018101	5.4080753	560000	-3.7252903e-09	0.79552364	-0.009103663	-0.107145	1.3564423	0.007500019	0.0598125	127.0	827.385990858078	0.0	0.0625	0.0	0.0	0.0
35	47.79801	4.857473	52.379097	30.638292	500.0	10.33533	0.90985835	11.249222	5.8344083	576000	-7.450581e-09	0.7674127	-0.009940183	-0.14416033	1.3564423	0.008292317	0.089562505	127.0	849.9802327156067	0.0	0.125	0.0	0.0	0.0
36	48.923386	3.3433146	53.07993	35.162907	500.0	10.406591	0.9715119	11.396035	5.6560435	592000	5.122274e-09	0.5228216	-0.01005849	-0.07407168	1.3564423	0.0069863154	0.0738125	127.0	878.128335237503	0.0	0.09375	0.0	0.0	0.0
37	49.178135	3.9957116	52.7318	32.368454	500.0	10.583851	1.0073447	11.556569	6.1208963	608000	1.8626451e-08	0.43802062	-0.008946012	-0.056196168	1.3564423	0.0071478435	0.07081249	127.0	905.5991559028625	0.0	0.125	0.0	0.0	0.0
38	49.595406	2.9004376	53.47865	42.506138	500.0	10.794934	1.0264267	11.667312	6.0426226	624000	0.0	0.31305015	-0.010004242	-0.024002993	1.3564423	0.0069903145	0.0778125	127.0	933.374233007431	0.0	0.0	0.0	0.0	0.0
39	49.74566	3.788317	52.900295	31.475458	500.0	10.876543	1.0767804	11.693326	5.977895	640000	-1.1175871e-08	0.3493274	-0.010701436	-0.044232707	1.3564423	0.010072662	0.090812504	127.0	955.2689387798309	0.0	0.0	0.0	0.0	0.0
40	51.313957	1.3478467	54.01571	49.11845	500.0	10.998828	1.0531173	11.826077	6.1513925	656000	-1.1175871e-08	0.18538903	-0.0093226265	-0.071256414	1.3564423	0.00550438	0.0744375	127.0	981.1240105628967	0.0	0.0625	0.0	0.0	0.0
41	51.55691	2.064833	55.049603	46.547028	500.0	11.2053	1.0575081	11.885427	6.322178	672000	7.450581e-09	0.15925628	-0.008727964	-0.03483031	1.3564423	0.007639747	0.06631251	127.0	1006.8549516201019	0.0	0.0	0.0	0.0	0.0
42	50.962875	5.722986	55.085278	28.079945	500.0	11.235353	1.1156044	11.98189	6.503711	688000	7.450581e-09	0.83854586	-0.008951893	-0.35559696	1.3564423	0.0057989233	0.0646875	127.0	1029.2394309043884	0.0	0.0	0.0	0.0	0.0
43	51.93824	1.7475461	54.094013	47.828705	500.0	11.223695	1.1074003	12.189121	6.4289327	704000	1.7695129e-08	0.21103388	-0.008457289	-0.07082296	1.3564423	0.0065083737	0.0734375	127.0	1053.7338774204254	0.0	0.0	0.0	0.0	0.0
44	52.151253	2.3497505	55.26348	47.04365	500.0	11.405673	1.0948337	12.117645	6.298813	720000	1.1175871e-08	0.17574084	-0.008555906	-0.017486187	1.3564423	0.008196085	0.07175	127.0	1076.388781785965	0.0	0.0	0.0	0.0	0.0
45	52.665245	1.568403	55.03948	48.740826	500.0	11.3826885	1.0723969	12.114519	6.4626255	736000	-1.8626451e-08	0.15493992	-0.0098091755	-0.041750103	1.3564423	0.0061073964	0.078687504	127.0	1099.9013509750366	0.0	0.0	0.0	0.0	0.0
46	52.177742	4.9761305	55.49248	25.750216	500.0	11.503397	1.1644901	12.191767	6.4249873	752000	7.450581e-09	0.5382496	-0.009400293	-0.21400231	1.3564423	0.0064325435	0.076125	127.0	1121.6541497707367	0.0	0.0	0.0	0.0	0.0
47	52.120533	4.2016244	55.42709	30.747107	500.0	11.419935	1.271037	12.325942	6.315962	768000	-2.0489097e-08	0.35468704	-0.009549828	-0.11217934	1.3564423	0.0098824585	0.082	127.0	1145.8650915622711	0.0	0.0	0.0	0.0	0.0
48	53.192055	1.4395672	55.75909	49.280273	500.0	11.518219	1.2543688	12.476653	6.2692103	784000	-2.142042e-08	0.18032637	-0.0096127875	-0.07467845	1.3564423	0.007994383	0.0871875	127.0	1172.0067582130432	0.0	0.0	0.0	0.0	0.0
49	53.965187	1.258394	57.603706	51.63239	500.0	11.686265	1.1755804	12.480599	6.023511	800000	1.8626451e-09	0.14166719	-0.008255115	-0.03836651	1.3564423	0.007435762	0.066125	127.0	1197.6551196575165	0.0	0.03125	0.0	0.0	0.0
50	53.836647	1.0376962	55.372143	51.608665	500.0	11.830881	1.1491067	12.470151	6.223874	816000	1.3038516e-08	0.075351134	-0.008993407	-0.013337268	1.3564423	0.0058222087	0.06525	127.0	1221.419183254242	0.0	0.0	0.0	0.0	0.0
51	53.879135	1.0701841	55.569916	50.58343	500.0	11.827931	1.2444713	12.492765	6.081016	832000	-3.7252903e-09	0.07846444	-0.008214897	-0.009390348	1.3564423	0.0062989295	0.0720625	127.0	1244.1542477607727	0.0	0.0	0.0	0.0	0.0
52	52.639687	6.0897617	56.470474	24.448332	500.0	11.851572	1.1994814	12.523889	6.2858486	848000	2.2351742e-08	1.093179	-0.009009318	-0.7541201	1.3564423	0.0065902686	0.060312502	127.0	1270.2419610023499	0.0	0.0	0.0	0.0	0.0
53	54.275993	1.2289283	55.876244	50.018684	500.0	11.770123	1.2241043	12.559914	6.2259965	864000	-1.6763806e-08	0.19234873	-0.009568486	-0.092076555	1.3564423	0.006956323	0.0700625	127.0	1299.9843564033508	0.0	0.0	0.0	0.0	0.0
54	54.19114	1.2818623	55.938835	50.353397	500.0	11.913386	1.1878119	12.584484	6.220347	880000	0.0	0.0839695	-0.009369742	-0.0060328785	1.3564423	0.008534868	0.069	127.0	1326.420571088791	0.0	0.0	0.0	0.0	0.0
55	54.150948	1.024578	55.586563	51.34816	500.0	11.923816	1.1738665	12.588704	6.291356	896000	1.8626451e-08	0.11032084	-0.007962584	-0.017485745	1.3564423	0.0062350705	0.065125	127.0	1354.0341029167175	0.0	0.0	0.0	0.0	0.0
56	54.410423	1.2170548	56.322334	50.71478	500.0	11.908457	1.2441084	12.684404	5.9873433	912000	1.1175871e-08	0.15396476	-0.008665071	-0.022815473	1.3564423	0.0076629184	0.0725625	127.0	1384.0161781311035	0.0	0.0	0.0	0.0	0.0
