Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7381994	0.6512512	3.621644	0.14265361	500.0	0.10621893	0.013664871	0.13429174	0.06431624	16000	1.4901161e-08	0.025215996	-0.004117556	-0.0068313363	1.3475134	0.005324006	0.052875	127.0	19.79678440093994	0.0	0.0	0.0	0.0	0.0
1	1.0415479	0.64895374	2.7965953	0.1949263	500.0	0.18977349	0.054079436	0.34411365	0.05244586	32000	1.1175871e-08	0.025600214	-0.006495633	-0.0074815284	1.3475134	0.0058269994	0.06925	127.0	38.327797651290894	0.0	0.0	0.0	0.0	0.0
2	1.7422673	1.0268734	4.1036735	0.15811719	500.0	0.28060597	0.09517671	0.48640174	0.06576526	48000	1.4901161e-08	0.075182036	-0.00547882	-0.031647302	1.3475134	0.0056179776	0.0591875	127.0	56.25291872024536	0.0	0.0	0.0	0.0	0.0
3	4.244148	3.1483538	13.310942	0.32107967	500.0	0.49279436	0.20552792	0.943391	0.03950978	64000	0.0	0.785643	-0.0058849594	-0.38588643	1.3475134	0.006059083	0.0568125	127.0	76.36234283447266	0.0	0.0	0.0	0.0	0.0
4	4.790184	3.6185768	12.866563	0.54085016	500.0	1.1733391	0.5395065	2.3993564	-0.16002725	80000	2.9802322e-08	0.75989854	-0.006549039	-0.291117	1.3475134	0.0075435787	0.0825625	127.0	94.79884266853333	0.0	0.0	0.0	0.0	0.0
5	7.226462	3.9335616	17.564856	0.40029144	500.0	1.5884775	0.88959765	3.2223876	-0.34659386	96000	-1.1175871e-08	0.9048443	-0.007405391	-0.30718714	1.3475134	0.00665286	0.088125	127.0	114.77022695541382	0.0	0.0	0.0	0.0	0.0
6	15.208452	6.158129	38.083363	6.5147038	500.0	2.4228318	1.226038	4.5528874	-0.56663007	112000	5.9604645e-08	3.8485138	-0.00828177	-1.8375298	1.3475134	0.0067857266	0.0815	127.0	134.62137961387634	0.0	0.0625	0.0	0.0	0.0
7	13.577887	4.952084	27.261242	2.7006881	500.0	4.1870666	1.8234417	6.8070717	-0.36749226	128000	7.450581e-09	1.5770518	-0.00904596	-0.30514562	1.3475134	0.006565134	0.072625	127.0	153.42563891410828	0.0	0.03125	0.0	0.0	0.0
8	19.852192	15.635122	74.067116	4.8692794	500.0	3.875062	1.8031021	6.6137443	-0.6854864	144000	-7.450581e-09	14.968988	-0.005332594	-1.8718393	1.3475134	0.008930324	0.0755	127.0	172.56162309646606	0.0	0.125	0.0	0.0	0.0
9	17.591557	12.24897	81.37416	8.345812	500.0	5.2751584	2.2445192	8.009946	-0.9834527	160000	1.4901161e-08	8.340017	-0.0074965265	-0.83627415	1.3475134	0.00556414	0.056375	127.0	191.62935280799866	0.0	0.03125	0.0	0.0	0.0
10	18.508696	4.2894983	26.071516	6.9075327	500.0	4.86184	1.787189	6.9764366	-0.19397505	176000	5.9604645e-08	1.7893963	-0.007479094	-0.11134426	1.3475134	0.0060882038	0.0489375	127.0	212.30054879188538	0.0	0.0	0.0	0.0	0.0
11	20.233421	5.446206	40.451477	12.730459	500.0	4.9380403	1.6582373	6.999872	0.010959476	192000	0.0	2.896658	-0.0065957075	-0.17123887	1.3475134	0.006317728	0.05475	127.0	232.4011824131012	0.0	0.03125	0.0	0.0	0.0
12	21.480913	3.903304	27.859861	12.772527	500.0	5.154683	1.5653172	7.316397	0.5488741	208000	-7.450581e-09	1.565202	-0.0065226825	-0.09605563	1.3475134	0.0067039263	0.0501875	127.0	251.82587718963623	0.0	0.09375	0.0	0.0	0.0
13	21.256914	4.011369	32.12305	14.425234	500.0	5.5024557	1.6618053	7.494167	0.49816385	224000	0.0	1.6057298	-0.0077867396	-0.056805562	1.3475134	0.0063797375	0.05575	127.0	271.0761761665344	0.0	0.0	0.0	0.0	0.0
14	22.470547	6.321266	49.70427	12.850658	500.0	5.4033437	1.6804101	7.4451637	0.30257946	240000	1.8626451e-09	3.3437045	-0.007671794	-0.1733759	1.3475134	0.00588121	0.054250002	127.0	290.3571836948395	0.0	0.125	0.0	0.0	0.0
15	22.935562	4.0511937	31.530424	15.275345	500.0	5.5815763	1.6543797	7.335472	0.3231097	256000	-1.4901161e-08	1.6229234	-0.0074629374	-0.06386396	1.3475134	0.006580417	0.051	127.0	309.6098372936249	0.0	0.0625	0.0	0.0	0.0
16	22.589254	4.7450256	36.011696	14.412963	500.0	5.714401	1.6106535	7.3790755	0.6144795	272000	-1.6298145e-09	1.6463807	-0.0070416164	-0.101679005	1.3475134	0.0060065053	0.053000003	127.0	329.8440818786621	0.0	0.125	0.0	0.0	0.0
