Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24824491	0.1699296	0.74181265	0.049212404	500.0	0.042421397	0.021718038	0.11984523	-0.043288782	16000	1.8626451e-09	0.0021457316	-0.007387888	-0.0010886696	1.3564423	0.0075450996	0.079875	127.0	21.963939666748047	0.0	0.0	0.0	0.0	0.0
1	0.30150285	0.18245375	0.8229314	0.060745478	500.0	0.05217662	0.017057467	0.12027446	0.0087254755	32000	-2.2351742e-08	0.0015300021	-0.0070738574	-0.00053178373	1.3564423	0.008439655	0.0871875	127.0	43.79929518699646	0.0	0.0	0.0	0.0	0.0
2	0.53766394	0.34435484	1.8376096	0.113637276	500.0	0.06756439	0.022478692	0.14131932	0.01273416	48000	7.450581e-09	0.0047504986	-0.009275879	-0.0020029272	1.3564423	0.009098356	0.1108125	127.0	65.64916849136353	0.0	0.0	0.0	0.0	0.0
3	0.9305711	0.5095763	2.8576503	0.28940672	500.0	0.13784084	0.043698747	0.25974655	0.015619859	64000	1.1175871e-08	0.010832021	-0.00989517	-0.00419537	1.3564423	0.0090425955	0.09900001	127.0	86.73708319664001	0.0	0.0	0.0	0.0	0.0
4	1.9687762	0.9398207	4.659833	0.49446604	500.0	0.30101195	0.069185086	0.5620387	0.10732937	80000	2.4214387e-08	0.054316007	-0.008849692	-0.025123335	1.3564423	0.008061108	0.087375	127.0	106.5285849571228	0.0	0.0	0.0	0.0	0.0
5	3.045202	1.4018356	5.653454	0.55932426	500.0	0.48222235	0.0916885	0.74796814	0.08942512	96000	-5.3085387e-08	0.10331068	-0.009829946	-0.05244547	1.3564423	0.007379605	0.097124994	127.0	128.7063865661621	0.0	0.0	0.0	0.0	0.0
6	8.659151	4.908653	20.710325	2.3513594	500.0	0.88445705	0.24774699	1.6015283	0.23232584	112000	2.2351742e-08	1.9759128	-0.007432724	-1.0472565	1.3564423	0.0065309615	0.0780625	127.0	150.17194867134094	0.0	0.0	0.0	0.0	0.0
7	14.593029	6.133509	26.35644	4.8470683	500.0	2.3260424	0.68135965	4.1242285	0.22336018	128000	7.450581e-09	3.0651774	-0.008056268	-1.2968316	1.3564423	0.006416073	0.070437506	127.0	171.75283789634705	0.0	0.0	0.0	0.0	0.0
8	19.36819	4.9190154	29.856041	8.273244	500.0	3.8591168	1.2693367	6.182079	-0.09266305	144000	2.7939677e-08	2.4572003	-0.010133831	-0.7151919	1.3564423	0.0065265168	0.082875	127.0	193.9716079235077	0.0	0.125	0.0	0.0	0.0
9	23.23982	5.251076	35.534447	14.699129	500.0	4.9597507	1.3319976	7.128066	0.6818882	160000	2.9802322e-08	2.2580001	-0.008373173	-0.37143937	1.3564423	0.0073935036	0.07425	127.0	214.61707758903503	0.0	0.09375	0.0	0.0	0.0
10	22.525688	4.5697436	32.290985	15.109009	500.0	5.7980623	1.2899755	7.2335343	1.3074664	176000	1.1175871e-08	1.8766382	-0.00748308	-0.30903324	1.3564423	0.0074965097	0.068624996	127.0	237.16769766807556	0.0	0.0	0.0	0.0	0.0
11	26.427378	4.8875093	37.51356	19.022154	500.0	5.4174504	0.9143425	6.509228	1.7005496	192000	-9.313226e-09	2.3471117	-0.0089491345	-0.38347727	1.3564423	0.005708373	0.0696875	127.0	260.2571611404419	0.0	0.0	0.0	0.0	0.0
12	28.96055	4.827881	40.467567	20.93245	500.0	5.967286	0.83217144	6.8246126	2.0952456	208000	-9.313226e-09	2.270794	-0.008978376	-0.29723108	1.3564423	0.0061527593	0.07675	127.0	283.6590530872345	0.0	0.0625	0.0	0.0	0.0
13	30.811455	4.998654	41.675663	22.05372	500.0	6.4772353	0.73224133	7.145245	2.621941	224000	0.0	1.8687116	-0.009130195	-0.15089536	1.3564423	0.007021622	0.0738125	127.0	304.16097378730774	0.0	0.0	0.0	0.0	0.0
14	32.66603	6.036354	41.73234	16.577784	500.0	6.839105	0.78464746	7.524459	2.368931	240000	-2.2351742e-08	2.2913146	-0.008859928	-0.21870531	1.3564423	0.0060512777	0.067499995	127.0	325.6412847042084	0.0	0.03125	0.0	0.0	0.0
15	34.96	5.7224298	46.92934	23.940239	500.0	7.252012	0.7927672	7.9448333	2.83488	256000	2.2351742e-08	1.9802158	-0.007880628	-0.17805323	1.3564423	0.005831962	0.06125	127.0	348.05464935302734	0.0	0.0625	0.0	0.0	0.0
16	35.542046	5.5042634	45.967503	23.887444	500.0	7.5638843	0.71328133	8.19203	3.3181477	272000	3.7252903e-09	1.8060446	-0.007976787	-0.06665932	1.3564423	0.007223198	0.067625	127.0	370.601895570755	0.0	0.0	0.0	0.0	0.0
17	37.829346	4.2079964	48.256756	26.5332	500.0	7.7463045	0.7713371	8.418948	3.4527273	288000	2.2351742e-08	1.6544076	-0.008492532	-0.2070068	1.3564423	0.0046121897	0.0626875	127.0	393.0560989379883	0.0	0.0	0.0	0.0	0.0
18	36.564346	4.9464693	44.884262	25.588936	500.0	8.124972	0.6698058	8.727776	4.1628456	304000	0.0	1.2974439	-0.008470236	-0.09135808	1.3564423	0.007932233	0.06325	127.0	415.93819856643677	0.0	0.09375	0.0	0.0	0.0
19	39.046104	5.143053	49.70999	28.117634	500.0	7.9561553	0.79015285	8.753625	3.647952	320000	1.8626451e-09	1.6515892	-0.0077276626	-0.1641253	1.3564423	0.005565594	0.051124997	127.0	438.5196690559387	0.0	0.03125	0.0	0.0	0.0
20	40.116966	5.5237045	48.208035	22.464756	500.0	8.307563	0.8371945	9.064048	3.979883	336000	5.5879354e-09	1.5679402	-0.008157562	-0.097168356	1.3564423	0.005244732	0.0639375	127.0	461.17240929603577	0.0	0.15625	0.0	0.0	0.0
21	42.36029	4.387908	47.401367	27.701736	500.0	8.676875	0.7978953	9.281402	4.2369924	352000	1.8626451e-08	1.4236262	-0.008835969	-0.3442258	1.3564423	0.0047407644	0.0605	127.0	486.1555676460266	0.0	0.15625	0.0	0.0	0.0
22	38.49137	5.3685174	48.98437	25.42426	500.0	9.091493	0.930754	10.0376215	3.9088016	368000	-2.9802322e-08	2.3665786	-0.008717147	-0.62541157	1.3564423	0.0060865125	0.064124994	127.0	508.5370330810547	0.0	0.125	0.0	0.0	0.0
23	41.405815	5.142584	50.314648	29.26626	500.0	8.504439	0.70177305	9.269535	4.1032534	384000	7.450581e-09	1.7771094	-0.007744883	-0.16802281	1.3564423	0.0061869686	0.0544375	127.0	531.9043407440186	0.0	0.03125	0.0	0.0	0.0
24	41.51011	5.8995266	50.109776	29.61977	500.0	8.764694	0.73260707	9.630679	5.0384827	400000	-3.7252903e-09	1.4910848	-0.0077677034	-0.08670447	1.3564423	0.0049774004	0.0520625	127.0	555.1704428195953	0.0	0.0625	0.0	0.0	0.0
25	41.985504	5.5956554	50.221233	26.41697	500.0	8.874428	0.8900088	9.982276	4.702427	416000	0.0	1.4191542	-0.007947417	-0.15938361	1.3564423	0.0035668695	0.0586875	127.0	577.0803661346436	0.0	0.125	0.0	0.0	0.0
26	42.865536	4.6984005	50.0208	31.071531	500.0	8.944376	0.9962293	10.344268	4.0885854	432000	0.0	1.5810139	-0.007906569	-0.39894164	1.3564423	0.007104367	0.0568125	127.0	600.3863053321838	0.0	0.0625	0.0	0.0	0.0
27	43.566154	4.436149	50.484295	32.500946	500.0	9.306879	0.96669143	10.618437	5.0372105	448000	0.0	1.0285841	-0.009138315	-0.08793934	1.3564423	0.006251904	0.06775001	127.0	622.1534128189087	0.0	0.15625	0.0	0.0	0.0
28	43.274277	4.1785426	51.990017	35.2592	500.0	9.181367	0.90680385	10.816413	5.251035	464000	-7.450581e-09	0.9951055	-0.008967904	-0.13844225	1.3564423	0.006470044	0.0705625	127.0	645.0114722251892	0.0	0.03125	0.0	0.0	0.0
29	43.50327	4.881028	51.7117	33.457153	500.0	9.2599	1.0975296	10.9564495	4.734366	480000	1.21071935e-08	0.6674647	-0.007888883	-0.13045992	1.3564423	0.0045741433	0.0598125	127.0	669.0238089561462	0.0	0.03125	0.0	0.0	0.0
30	44.0752	4.1784625	50.548046	36.984184	500.0	9.588973	1.2093551	11.620523	5.2004848	496000	-1.8626451e-09	0.6083158	-0.009026663	-0.039467275	1.3564423	0.006566099	0.0741875	127.0	691.2023022174835	0.0	0.0625	0.0	0.0	0.0
31	45.172295	4.7560396	51.49348	34.061054	500.0	9.791152	1.2255652	11.615659	5.2628055	512000	9.313226e-09	0.7265767	-0.008512141	-0.028372016	1.3564423	0.007164132	0.0698125	127.0	713.8298723697662	0.0	0.09375	0.0	0.0	0.0
32	44.612	4.1784515	51.92205	35.335342	500.0	9.861953	1.1645724	11.441232	5.527394	528000	-4.656613e-09	1.11504	-0.008676578	-0.15041903	1.3564423	0.0070746155	0.0678125	127.0	736.1016228199005	0.0	0.0625	0.0	0.0	0.0
