Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16702855	0.13744062	0.67241824	0.021016303	500.0	0.05155781	0.018690674	0.1312533	-0.0014764927	16000	-1.1175871e-08	0.0013609484	-0.0073832893	-0.00073096575	1.3564423	0.006849521	0.0685625	127.0	26.51487159729004	0.0	0.0	0.0	0.0	0.0
1	0.25295782	0.1971307	0.8573593	0.03228975	500.0	0.040475663	0.0146446815	0.1112919	0.0009171888	32000	-1.4901161e-08	0.001612226	-0.0072321547	-0.00056033145	1.3564423	0.008963882	0.0829375	127.0	48.28248572349548	0.0	0.0	0.0	0.0	0.0
2	0.36663994	0.2739263	1.3371093	0.05274034	500.0	0.058199704	0.02122842	0.122360855	-0.024917033	48000	9.313226e-09	0.00251462	-0.009488987	-0.00087907154	1.3564423	0.00948177	0.114125	127.0	69.32347011566162	0.0	0.0	0.0	0.0	0.0
3	0.5753887	0.25902522	1.1867936	0.1397591	500.0	0.09447981	0.032701425	0.18515727	0.0121517405	64000	3.7252903e-09	0.002836645	-0.0104342885	-0.0010165834	1.3564423	0.009104479	0.100687504	127.0	98.08614659309387	0.0	0.0	0.0	0.0	0.0
4	1.0078893	0.5522253	2.533792	0.24566804	500.0	0.16684057	0.04182989	0.32166418	0.04476151	80000	-1.4901161e-08	0.018459368	-0.007813161	-0.007992926	1.3564423	0.0076090437	0.0738125	127.0	132.09306645393372	0.0	0.0	0.0	0.0	0.0
5	1.259011	0.6804463	4.0288	0.35145757	500.0	0.23209377	0.06693573	0.43116882	0.06166293	96000	0.0	0.017345887	-0.008150859	-0.006077229	1.3564423	0.006709774	0.078687504	127.0	156.7664532661438	0.0	0.0	0.0	0.0	0.0
6	1.9245099	1.894413	9.293989	0.3258284	500.0	0.30126283	0.11040741	0.651026	0.0640378	112000	0.0	0.14290643	-0.006119605	-0.07094824	1.3564423	0.007864421	0.1065	127.0	181.22666716575623	0.0	0.0	0.0	0.0	0.0
7	4.98843	5.1832414	24.281763	0.49128422	500.0	0.6902346	0.47096223	2.081553	-0.09113843	128000	-3.7252903e-09	1.2023089	-0.0062698172	-0.47307992	1.3564423	0.006697297	0.075187504	127.0	203.35674381256104	0.0	0.0	0.0	0.0	0.0
8	10.264491	7.529667	28.02094	0.4483509	500.0	1.5969785	1.0871708	3.7287807	-0.5194549	144000	3.7252903e-08	2.5465379	-0.007009865	-1.3134707	1.3564423	0.008153003	0.08325	127.0	225.58290219306946	0.0	0.0	0.0	0.0	0.0
9	14.200253	9.374159	32.51443	0.8847781	500.0	2.889161	1.7044326	5.7982583	-0.3545711	160000	7.450581e-09	2.9908895	-0.009641636	-0.96730244	1.3564423	0.010185334	0.108125	127.0	248.03335213661194	0.0	0.0	0.0	0.0	0.0
