Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.23810227	0.1186946	0.59671885	0.0790722	500.0	0.014426086	0.028553372	0.10196376	-0.05622848	16000	-9.313226e-09	0.0020103364	-0.009161476	-0.0012570231	1.3564423	0.008455079	0.086875	127.0	25.574466705322266	0.0	0.0	0.0	0.0	0.0
1	0.28500777	0.1714097	1.003989	0.07574497	500.0	0.048985604	0.016226163	0.11439818	0.0110780485	32000	-6.519258e-09	0.0014650959	-0.0077643916	-0.0004943685	1.3564423	0.009412753	0.0978125	127.0	46.252896547317505	0.0	0.0	0.0	0.0	0.0
2	0.64715314	0.28074765	1.1973739	0.24440572	500.0	0.07170401	0.017440137	0.13427605	0.024372492	48000	-3.3527613e-08	0.0066759298	-0.007747172	-0.00371567	1.3564423	0.007238377	0.08225	127.0	69.34860253334045	0.0	0.0	0.0	0.0	0.0
3	0.84696376	0.39618123	1.8597256	0.2534421	500.0	0.13156557	0.048264567	0.2551015	-3.0901283e-05	64000	2.2351742e-08	0.0078273425	-0.00917028	-0.002498142	1.3564423	0.007953607	0.095875	127.0	90.10686993598938	0.0	0.0	0.0	0.0	0.0
4	1.558309	0.8578639	4.3719397	0.5844253	500.0	0.20358348	0.04914246	0.35372847	-0.019918043	80000	7.450581e-09	0.037152845	-0.0090133	-0.020022362	1.3564423	0.008462497	0.094875	127.0	110.90241718292236	0.0	0.0	0.0	0.0	0.0
5	3.2799344	1.7329005	8.329397	1.2254779	500.0	0.434643	0.0928404	0.73505026	0.08778304	96000	-4.0978193e-08	0.16424745	-0.009817189	-0.06950265	1.3564423	0.0069906767	0.09312499	127.0	132.5350480079651	0.0	0.0	0.0	0.0	0.0
6	6.8544397	3.5081532	15.011755	1.4541074	500.0	0.84944874	0.19976735	1.4936447	0.22000471	112000	-1.5832484e-08	0.9143199	-0.008474879	-0.45990694	1.3564423	0.0071107857	0.085374996	127.0	154.4982089996338	0.0	0.0	0.0	0.0	0.0
7	12.271059	5.942934	26.19887	2.97936	500.0	1.8638744	0.5248112	3.6406546	0.1308907	128000	0.0	2.6192505	-0.009413	-1.2634068	1.3564423	0.0056921113	0.0794375	127.0	175.98480677604675	0.0	0.0	0.0	0.0	0.0
8	18.609634	4.7244368	29.406094	8.921575	500.0	3.3018374	1.1143485	5.676085	0.17693372	144000	-7.450581e-09	2.6893046	-0.012037095	-1.3176394	1.3564423	0.0074445363	0.106937505	127.0	197.33180046081543	0.0	0.0	0.0	0.0	0.0
9	22.516022	5.935128	36.89114	10.2566185	500.0	4.7777543	1.4193534	6.904233	0.41417667	160000	1.3038516e-08	2.497704	-0.00988863	-0.70225644	1.3564423	0.0062039294	0.0820625	127.0	219.4023253917694	0.0	0.0	0.0	0.0	0.0
10	21.381752	5.692977	32.11389	10.022344	500.0	5.8169065	1.8256197	8.333456	0.29562226	176000	1.8626451e-09	2.4716473	-0.008620335	-0.64251655	1.3564423	0.0070079	0.0680625	127.0	242.1059217453003	0.0	0.0	0.0	0.0	0.0
11	22.930428	4.9574375	34.167686	13.668008	500.0	5.653783	1.3647605	7.386034	1.1414831	192000	2.2351742e-08	1.975451	-0.008819371	-0.21863808	1.3564423	0.005959933	0.069875	127.0	264.8220229148865	0.0	0.0	0.0	0.0	0.0
