Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2167817	0.14712906	0.7445265	0.04827065	500.0	0.041110665	0.027213736	0.1280543	-0.034892447	16000	7.450581e-09	0.0016591679	-0.008337826	-0.0007913779	1.3564423	0.0083079	0.0849375	127.0	25.117476224899292	0.0	0.0	0.0	0.0	0.0
1	0.31004137	0.19866389	0.9365511	0.06994166	500.0	0.05259192	0.015535169	0.11738461	0.014382742	32000	7.450581e-09	0.002100872	-0.0072469837	-0.0007507061	1.3564423	0.0081960615	0.0824375	127.0	43.25204515457153	0.0	0.0	0.0	0.0	0.0
2	0.5287628	0.32609826	1.6797478	0.105137736	500.0	0.07196664	0.020959515	0.13808735	0.004406832	48000	-1.1175871e-08	0.0052661854	-0.008513683	-0.0022920023	1.3564423	0.008728305	0.100999996	127.0	63.124974489212036	0.0	0.0	0.0	0.0	0.0
3	0.7877434	0.36648116	2.0634506	0.22907998	500.0	0.1344664	0.04962909	0.30740204	-0.013781043	64000	-1.4901161e-08	0.0068386775	-0.0101313	-0.0019760875	1.3564423	0.009011995	0.101812504	127.0	84.34842848777771	0.0	0.0	0.0	0.0	0.0
4	1.5988077	0.7044597	3.3092375	0.45747876	500.0	0.23548481	0.047653772	0.38116193	0.10820386	80000	1.6763806e-08	0.035477847	-0.008628218	-0.01846783	1.3564423	0.007994004	0.078625	127.0	107.36914443969727	0.0	0.0	0.0	0.0	0.0
5	2.3562005	0.9433022	3.7694871	0.5290429	500.0	0.36995807	0.074630894	0.5233553	0.071960464	96000	1.1175871e-08	0.05092573	-0.010561634	-0.020558173	1.3564423	0.007467358	0.097687505	127.0	125.85734128952026	0.0	0.0	0.0	0.0	0.0
6	6.2445874	3.9203172	16.687975	1.5333018	500.0	0.6110808	0.14016758	1.1456299	0.17102917	112000	-7.450581e-09	1.1482215	-0.006923651	-0.57107466	1.3564423	0.0066343807	0.06875	127.0	149.16388607025146	0.0	0.0	0.0	0.0	0.0
7	11.89964	5.665841	20.165537	2.590287	500.0	1.6931006	0.45881042	3.2205722	0.2907092	128000	1.1175871e-08	2.559062	-0.0077126245	-1.214813	1.3564423	0.005590116	0.0651875	127.0	172.6243555545807	0.0	0.0	0.0	0.0	0.0
8	17.132423	5.097973	30.99939	6.740641	500.0	3.1638238	1.0371702	5.4126515	0.03848715	144000	-1.8626451e-08	2.5896077	-0.009739714	-0.9874795	1.3564423	0.0065442496	0.08625	127.0	194.47614765167236	0.0	0.0625	0.0	0.0	0.0
9	20.888077	5.5869646	30.21522	11.564614	500.0	4.429465	1.2354767	6.3861656	0.38846523	160000	1.8626451e-09	2.312463	-0.008307738	-0.36773998	1.3564423	0.0060389135	0.072625	127.0	214.62203288078308	0.0	0.0	0.0	0.0	0.0
