Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.1367611	0.09542181	0.36186424	0.02913338	500.0	0.052863296	0.017550979	0.13387367	-0.0021401532	16000	-1.1175871e-08	0.0011883996	-0.007598495	-0.00077428576	1.3564423	0.0063866237	0.066375	127.0	27.24993324279785	0.0	0.0	0.0	0.0	0.0
1	0.18285692	0.107837066	0.5004346	0.03214309	500.0	0.034832288	0.015431839	0.10400234	-0.01701122	32000	-1.4901161e-08	0.00062705006	-0.007506271	-0.00024476091	1.3564423	0.008566136	0.07925	127.0	49.90621614456177	0.0	0.0	0.0	0.0	0.0
2	0.30870974	0.19377902	0.6841764	0.03380183	500.0	0.044698052	0.017119639	0.107953504	-0.008567421	48000	3.3527613e-08	0.0015237188	-0.008290528	-0.00070836116	1.3564423	0.008850219	0.0988125	127.0	70.66527581214905	0.0	0.0	0.0	0.0	0.0
3	0.4111697	0.22248656	0.9100034	0.04263213	500.0	0.061242554	0.026111515	0.11955412	-0.0080510825	64000	0.0	0.0015300574	-0.008933503	-0.00053108047	1.3564423	0.008098806	0.081750005	127.0	92.52001786231995	0.0	0.0	0.0	0.0	0.0
4	0.7421063	0.43362293	2.4211202	0.30319074	500.0	0.10621477	0.032082222	0.18177795	0.007110242	80000	-1.4901161e-08	0.0074283504	-0.009029788	-0.003633004	1.3564423	0.008907173	0.0951875	127.0	114.77845811843872	0.0	0.0	0.0	0.0	0.0
5	1.3063023	0.93620086	5.053208	0.43051502	500.0	0.18837638	0.05417705	0.38129583	0.030656978	96000	-2.7939677e-08	0.039558485	-0.0065413206	-0.019828193	1.3564423	0.0071511893	0.0788125	127.0	137.03448390960693	0.0	0.0	0.0	0.0	0.0
6	2.6624918	1.8654294	7.265	0.75084573	500.0	0.3730044	0.19619942	0.8576025	-0.015418755	112000	1.1175871e-08	0.19084993	-0.006787915	-0.11162394	1.3564423	0.008024103	0.0875625	127.0	163.1455454826355	0.0	0.0	0.0	0.0	0.0
7	6.350525	4.366352	15.8655815	0.4826059	500.0	0.85192764	0.48231906	1.8823119	-0.10650742	128000	-4.8428774e-08	1.3003025	-0.0077235727	-0.6105341	1.3564423	0.007176132	0.07175	127.0	187.04338335990906	0.0	0.0	0.0	0.0	0.0
8	10.116445	5.514834	19.126043	0.78444713	500.0	1.7142407	1.0153936	3.7384183	-0.31900868	144000	-1.1175871e-08	1.8218391	-0.008037028	-0.89232177	1.3564423	0.007109489	0.0798125	127.0	210.34372520446777	0.0	0.0	0.0	0.0	0.0
9	12.388013	7.1845255	22.721203	0.7275209	500.0	2.686953	1.6230034	5.701046	-0.6629042	160000	2.2351742e-08	2.0342133	-0.008527979	-0.64082944	1.3564423	0.008433487	0.093125	127.0	231.56862354278564	0.0	0.0	0.0	0.0	0.0
10	15.096157	7.510468	27.13898	0.66865444	500.0	3.921908	2.121535	7.2234154	-0.6291674	176000	1.3038516e-08	1.8711548	-0.008876417	-0.1637254	1.3564423	0.0067963605	0.0761875	127.0	256.73201060295105	0.0	0.0	0.0	0.0	0.0
11	18.951508	5.4020343	29.447525	1.1265659	500.0	4.773926	2.0208812	7.709071	-0.35057983	192000	-5.5879354e-09	1.7047572	-0.008917913	-0.1751698	1.3564423	0.0061791316	0.07625	127.0	277.17905592918396	0.0	0.0	0.0	0.0	0.0
12	22.472614	4.480459	32.431015	14.678784	500.0	5.28525	1.7270837	7.4596887	0.24062261	208000	-1.4901161e-08	2.0212083	-0.0083000325	-0.31271553	1.3564423	0.006122023	0.067125	127.0	299.2847001552582	0.0	0.0625	0.0	0.0	0.0
13	21.045443	8.496516	36.693924	0.59008354	500.0	5.2076054	1.7125089	7.04253	0.9556901	224000	-1.4901161e-08	2.3399453	-0.00873474	-0.2684361	1.3564423	0.006628662	0.06775	127.0	322.2489995956421	0.0	0.0	0.0	0.0	0.0
14	26.391039	5.2589755	37.065792	16.3863	500.0	5.6336017	1.3393111	6.8240137	-0.10918645	240000	7.450581e-09	2.501257	-0.009016552	-0.3823061	1.3564423	0.0065253386	0.071062505	127.0	349.2616357803345	0.0	0.0	0.0	0.0	0.0
15	26.202354	9.893099	36.81008	0.4378461	500.0	5.7964787	1.5683209	6.9815974	0.5760967	256000	-7.450581e-09	2.3441157	-0.008787854	-0.501647	1.3564423	0.008126732	0.07425	127.0	371.6809206008911	0.0	0.0625	0.0	0.0	0.0
16	27.791172	5.852064	37.893585	16.559229	500.0	6.628269	1.3374588	7.6447115	-0.33040845	272000	7.450581e-09	2.209999	-0.009184858	-0.14168699	1.3564423	0.0063491655	0.06675	127.0	396.1492598056793	0.0	0.0625	0.0	0.0	0.0
17	27.811123	7.564191	38.49417	0.7763059	500.0	6.409598	1.3126706	7.2774367	0.790056	288000	0.0	1.841606	-0.008555211	-0.15498416	1.3564423	0.0072527137	0.0758125	127.0	422.32230401039124	0.0	0.0	0.0	0.0	0.0
18	31.495678	5.838721	40.71743	20.591791	500.0	6.594366	1.1832843	7.3706837	0.9333677	304000	-2.7939677e-08	2.3063407	-0.0080007585	-0.32500684	1.3564423	0.0069256825	0.0593125	127.0	446.575156211853	0.0	0.0	0.0	0.0	0.0
19	32.189365	11.577715	45.13988	0.44963685	500.0	6.586296	1.8129528	7.7321796	0.36523408	320000	-1.4901161e-08	2.974484	-0.007079078	-0.90702516	1.3564423	0.005072014	0.043875	127.0	469.90616035461426	0.0	0.03125	0.0	0.0	0.0
