Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.1983063	0.11630196	0.55449903	0.053693954	500.0	0.006023018	0.029537594	0.0911836	-0.067720525	16000	7.450581e-09	0.0018105778	-0.009571939	-0.001175561	1.3564423	0.0086797755	0.091875	127.0	28.09097146987915	0.0	0.0	0.0	0.0	0.0
1	0.23007752	0.17215617	0.96968734	0.0556297	500.0	0.04213924	0.0156215485	0.111515634	0.005824577	32000	-1.071021e-08	0.0012541274	-0.007421513	-0.00040846915	1.3564423	0.009887525	0.103375	127.0	53.441864252090454	0.0	0.0	0.0	0.0	0.0
2	0.55239475	0.27749348	1.1779686	0.14876589	500.0	0.061610408	0.0155161945	0.11360134	0.01036375	48000	-2.4214387e-08	0.005491367	-0.0073961755	-0.002873692	1.3564423	0.007167589	0.0793125	127.0	77.9051423072815	0.0	0.0	0.0	0.0	0.0
3	0.69475436	0.39639777	1.9771136	0.14154328	500.0	0.10780294	0.04367019	0.21861234	-0.014888754	64000	-1.4901161e-08	0.0064454996	-0.008434268	-0.0019627805	1.3564423	0.007607342	0.095	127.0	105.73303318023682	0.0	0.0	0.0	0.0	0.0
4	1.2851424	0.855495	3.895952	0.3886342	500.0	0.16299365	0.047959022	0.29853597	-0.035634555	80000	-2.9802322e-08	0.030817548	-0.008354871	-0.018222025	1.3564423	0.008476113	0.08893749	127.0	130.14884042739868	0.0	0.0	0.0	0.0	0.0
5	2.591232	1.6866742	7.4327564	0.74653167	500.0	0.37646055	0.09720309	0.6312641	0.10868983	96000	-3.3527613e-08	0.109116524	-0.009456733	-0.050392445	1.3564423	0.007013634	0.0944375	127.0	156.34860825538635	0.0	0.0	0.0	0.0	0.0
6	5.1434155	3.20593	13.038262	0.6167254	500.0	0.7008811	0.22834556	1.3834786	0.0055099316	112000	-6.519258e-08	0.52901417	-0.009406272	-0.2585942	1.3564423	0.008264269	0.1005	127.0	179.86905455589294	0.0	0.0	0.0	0.0	0.0
7	9.84716	5.208064	19.372385	1.5896505	500.0	1.5732629	0.5812668	3.4163508	-0.20083927	128000	7.450581e-09	1.6318338	-0.009699017	-0.8389995	1.3564423	0.0060904133	0.090312496	127.0	204.70713353157043	0.0	0.0	0.0	0.0	0.0
8	15.128456	4.3100286	22.775236	4.298996	500.0	2.7649763	1.0543247	5.195701	-0.3330313	144000	0.0	1.7339714	-0.0118477205	-0.8352691	1.3564423	0.0077089616	0.106562495	127.0	229.56713008880615	0.0	0.0	0.0	0.0	0.0
9	20.58427	11.21985	70.73847	7.6589637	500.0	3.9569397	1.3178037	6.154814	-0.21893322	160000	0.0	7.8234696	-0.008320156	-1.8521118	1.3564423	0.008037	0.097937495	127.0	262.0074815750122	0.0	0.09375	0.0	0.0	0.0
