Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.19822049	0.118142724	0.57101786	0.051923595	500.0	0.0071436903	0.028979355	0.09604272	-0.062163748	16000	-1.1175871e-08	0.0017582749	-0.009327099	-0.0011195324	1.3564423	0.008601775	0.0913125	127.0	24.19825553894043	0.0	0.0	0.0	0.0	0.0
1	0.22872399	0.16540179	0.9244823	0.04937896	500.0	0.041852377	0.01538153	0.1121882	0.0053786784	32000	0.0	0.001188658	-0.007293026	-0.00037531948	1.3564423	0.009672211	0.1009375	127.0	43.836344718933105	0.0	0.0	0.0	0.0	0.0
2	0.558867	0.27472216	1.1590731	0.1626901	500.0	0.062027793	0.015037292	0.10963943	0.017692529	48000	3.7252903e-08	0.005627859	-0.0071527353	-0.0029971772	1.3564423	0.0071229152	0.078125	127.0	65.16066694259644	0.0	0.0	0.0	0.0	0.0
3	0.7044854	0.39829016	2.0057108	0.14857163	500.0	0.10790678	0.0430448	0.22096492	-0.01745406	64000	-2.9802322e-08	0.006466959	-0.008678986	-0.0020118416	1.3564423	0.007719983	0.09475	127.0	87.58790159225464	0.0	0.0	0.0	0.0	0.0
4	1.31237	0.89463896	4.2435746	0.39277193	500.0	0.17778951	0.049819913	0.35098732	-0.0127692185	80000	-1.4901161e-08	0.031689204	-0.008440626	-0.018443936	1.3564423	0.008455071	0.092437506	127.0	109.77688980102539	0.0	0.0	0.0	0.0	0.0
5	2.5585809	1.6962632	7.5910196	0.7295795	500.0	0.37933484	0.10673249	0.64084655	0.060843877	96000	-3.3527613e-08	0.10626137	-0.009515962	-0.04838737	1.3564423	0.0072590667	0.093375	127.0	134.26980352401733	0.0	0.0	0.0	0.0	0.0
6	4.942737	3.1178403	12.359381	0.5492318	500.0	0.6654726	0.24350624	1.3958974	-0.14072229	112000	1.3038516e-08	0.4726318	-0.009683837	-0.23040743	1.3564423	0.008276062	0.102437496	127.0	157.16631937026978	0.0	0.0	0.0	0.0	0.0
7	10.167554	5.359382	21.623499	1.7961229	500.0	1.511784	0.56018406	3.3701205	-0.36814943	128000	-5.9604645e-08	1.8501939	-0.009625304	-0.9860426	1.3564423	0.0059553515	0.0865625	127.0	178.3326234817505	0.0	0.0	0.0	0.0	0.0
8	15.9435005	4.504055	22.423756	5.356808	500.0	2.7707558	1.0403842	5.452501	-0.3282513	144000	-2.9802322e-08	2.0239651	-0.012259818	-1.0496355	1.3564423	0.007769393	0.111187495	127.0	201.03905296325684	0.0	0.0	0.0	0.0	0.0
9	22.275661	14.396846	84.47651	9.340648	500.0	4.1021748	1.3208839	6.567902	-0.3735759	160000	-1.4901161e-08	12.062285	-0.006741489	-2.718844	1.3564423	0.006987985	0.087437496	127.0	224.11194944381714	0.0	0.125	0.0	0.0	0.0
