Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.1484356	0.0998161	0.49021477	0.05019331	500.0	0.2654115	0.020671774	0.34350193	0.20558262	16000	-9.685755e-08	0.040282786	-0.0088958815	-0.038152553	1.3564423	0.007441222	0.080125004	127.0	19.35728621482849	0.0	0.0	0.0	0.0	0.0
1	0.21396519	0.24351352	1.3965571	0.031528566	500.0	0.08166776	0.037931774	0.20231275	0.013015762	32000	3.259629e-09	0.002875013	-0.0069751227	-0.0012030075	1.3564423	0.006366977	0.058125004	127.0	36.97515511512756	0.0	0.0	0.0	0.0	0.0
2	0.48234534	0.29658207	1.2440553	0.09448702	500.0	0.085606754	0.031907067	0.1702354	0.014761422	48000	1.1175871e-08	0.004447195	-0.007417243	-0.0014573516	1.3564423	0.005569089	0.0668125	127.0	54.541189670562744	0.0	0.0	0.0	0.0	0.0
3	0.6112359	0.5062318	1.7918868	0.047178295	500.0	0.1112483	0.020764155	0.17725225	0.05350355	64000	-1.4901161e-08	0.010066891	-0.0058501586	-0.0033171063	1.3564423	0.006722858	0.061375	127.0	72.50278043746948	0.0	0.0	0.0	0.0	0.0
4	1.0615113	0.84026664	3.4637434	0.13956255	500.0	0.15371774	0.046667185	0.26369822	0.045266874	80000	-2.2351742e-08	0.03649691	-0.006764198	-0.013982618	1.3564423	0.0065562325	0.057062503	127.0	90.5955023765564	0.0	0.0	0.0	0.0	0.0
5	1.8739328	2.0437849	8.426002	0.20793004	500.0	0.26946416	0.07558233	0.45434225	0.046920955	96000	-1.4901161e-08	0.20670085	-0.005287043	-0.09205181	1.3564423	0.008007276	0.07125	127.0	108.50893926620483	0.0	0.0	0.0	0.0	0.0
6	3.7633896	3.6119847	18.680935	0.295419	500.0	0.5810274	0.29843035	1.4871565	-0.23028074	112000	-7.450581e-09	0.6068412	-0.0069296537	-0.2808855	1.3564423	0.006442371	0.0944375	127.0	126.55821633338928	0.0	0.0	0.0	0.0	0.0
7	6.246038	4.428972	18.195469	0.5865707	500.0	1.4059284	0.7151391	3.283928	-0.7241424	128000	-7.450581e-09	1.1101638	-0.008588469	-0.39620692	1.3564423	0.0073679425	0.0991875	127.0	145.18908262252808	0.0	0.0	0.0	0.0	0.0
8	10.4442005	7.017859	25.746845	0.33434114	500.0	1.9470626	0.9875992	3.979052	-0.62886536	144000	1.8626451e-09	2.3800943	-0.008867541	-1.0173231	1.3564423	0.007997066	0.11193749	127.0	163.3840069770813	0.0	0.0	0.0	0.0	0.0
9	14.990295	7.75811	32.91662	0.8802417	500.0	3.4205344	1.706056	6.589529	-1.559108	160000	7.450581e-09	2.855104	-0.010762292	-0.76688826	1.3564423	0.008783221	0.097125	127.0	183.23824644088745	0.0	0.0625	0.0	0.0	0.0
10	18.267624	5.607777	30.640514	8.449353	500.0	5.027551	2.4966273	9.018386	-2.3620734	176000	-7.450581e-09	3.3498197	-0.008296311	-0.68593836	1.3564423	0.0059051253	0.0669375	127.0	201.8677113056183	0.0	0.0	0.0	0.0	0.0
11	18.35449	8.658688	39.651962	4.561538	500.0	5.26824	2.0390139	7.794863	-0.93140554	192000	-9.313226e-09	5.5922437	-0.006228377	-1.0200586	1.3564423	0.004506521	0.0538125	127.0	219.33522129058838	0.0	0.0	0.0	0.0	0.0
12	21.67073	7.178616	40.13393	4.6210504	500.0	4.8852463	1.8017328	7.0319605	-0.11314762	208000	2.4214387e-08	3.8120842	-0.0074642645	-0.5846524	1.3564423	0.004792219	0.06525	127.0	240.649418592453	0.0	0.0	0.0	0.0	0.0
13	24.300968	8.52416	45.91259	6.744244	500.0	5.462408	1.9797827	8.134814	-0.38799304	224000	-7.450581e-09	4.0781565	-0.007851395	-0.8037693	1.3564423	0.0065039992	0.0625	127.0	259.67661237716675	0.0	0.0	0.0	0.0	0.0
14	26.311707	8.789125	48.93596	8.62305	500.0	6.293466	2.2765949	9.141458	-0.14236212	240000	-7.450581e-09	4.994401	-0.007957609	-0.31509674	1.3564423	0.0040749805	0.053812496	127.0	279.4914734363556	0.0	0.0625	0.0	0.0	0.0
