Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16884124	0.13638245	0.6356868	0.026542123	500.0	0.291816	0.017266026	0.36460945	0.23538187	16000	-1.2293458e-07	0.04785464	-0.008556873	-0.045318082	1.3564423	0.0069313995	0.078687504	127.0	30.481724500656128	0.0	0.0	0.0	0.0	0.0
1	0.25002283	0.26726463	1.4305989	0.03051164	500.0	0.0988757	0.04382734	0.22286192	0.0054781176	32000	-2.6077032e-08	0.003701018	-0.0063228775	-0.0014933192	1.3564423	0.006587638	0.054937504	127.0	57.397905588150024	0.0	0.0	0.0	0.0	0.0
2	0.3598788	0.34561828	1.6536404	0.044360936	500.0	0.08801192	0.033887297	0.17324162	0.019766793	48000	1.4901161e-08	0.0052107116	-0.005747944	-0.0010767223	1.3564423	0.0055452157	0.061437503	127.0	77.90976905822754	0.0	0.0	0.0	0.0	0.0
3	0.46630257	0.4113384	1.6040808	0.096877515	500.0	0.09954473	0.027965346	0.17445418	0.035655774	64000	7.450581e-09	0.005840592	-0.005603539	-0.0014741882	1.3564423	0.0070426874	0.055124998	127.0	97.00205278396606	0.0	0.0	0.0	0.0	0.0
4	1.3628628	1.3354303	5.617098	0.20495339	500.0	0.12890081	0.02826649	0.21782723	0.046361383	80000	-3.7252903e-08	0.09246154	-0.0058524543	-0.038374603	1.3564423	0.0074175447	0.0538125	127.0	115.20114183425903	0.0	0.0	0.0	0.0	0.0
5	1.1045911	1.168119	6.3782134	0.1387214	500.0	0.27704725	0.077541724	0.49071926	0.035795167	96000	-1.1175871e-08	0.05122107	-0.007189911	-0.016516436	1.3564423	0.007609864	0.083125	127.0	134.72184491157532	0.0	0.0	0.0	0.0	0.0
6	3.5468612	3.1908205	11.266129	0.3894636	500.0	0.3414844	0.16234797	0.7671894	-0.19464643	112000	-7.450581e-09	0.665622	-0.005889901	-0.31877625	1.3564423	0.005498863	0.0651875	127.0	153.80999660491943	0.0	0.0	0.0	0.0	0.0
7	6.564159	5.860247	20.515457	0.48371202	500.0	0.9322252	0.44902852	2.1492999	-0.29159662	128000	-1.4901161e-08	2.0540621	-0.0070555448	-0.7635726	1.3564423	0.00704234	0.0834375	127.0	174.96610498428345	0.0	0.0	0.0	0.0	0.0
8	12.911453	7.521887	31.761946	1.9534632	500.0	1.9510525	0.968707	3.9258637	-0.70590925	144000	1.4901161e-08	4.2794337	-0.006571495	-2.0748608	1.3564423	0.005888814	0.0643125	127.0	195.30733227729797	0.0	0.125	0.0	0.0	0.0
9	17.353899	7.531108	33.65725	3.3785503	500.0	3.6059225	1.7529382	6.3498616	-1.467839	160000	0.0	3.364572	-0.007505133	-0.86859995	1.3564423	0.0071679577	0.077250004	127.0	213.79889273643494	0.0	0.0	0.0	0.0	0.0
10	18.47741	6.45375	32.288315	3.8208277	500.0	4.9811378	2.0654428	7.876832	-1.0369543	176000	2.2351742e-08	3.3297348	-0.007559943	-0.3837968	1.3564423	0.0057598315	0.06775	127.0	236.5716392993927	0.0	0.03125	0.0	0.0	0.0
11	22.338055	7.672033	45.549328	9.119685	500.0	5.0581517	1.9037967	7.4243426	-0.68372816	192000	4.0978193e-08	4.5271506	-0.006086152	-0.70363873	1.3564423	0.004304397	0.052	127.0	257.290230512619	0.0	0.0625	0.0	0.0	0.0
12	20.479336	7.4057107	35.753265	8.15976	500.0	5.7304955	1.960987	7.7020936	-0.26407987	208000	0.0	3.8500152	-0.007831692	-0.47604802	1.3564423	0.0060275067	0.0535625	127.0	280.41371726989746	0.0	0.0625	0.0	0.0	0.0
13	24.403896	8.432796	51.448635	10.494983	500.0	5.3667445	1.5913596	6.9739466	0.10382825	224000	-7.450581e-09	4.673236	-0.008711427	-0.4096151	1.3564423	0.006674718	0.0676875	127.0	301.6676170825958	0.0	0.0625	0.0	0.0	0.0
14	27.478832	8.883845	40.741364	11.221259	500.0	5.952206	1.6280127	7.223022	0.054228563	240000	9.313226e-09	5.2810163	-0.007775712	-0.44937032	1.3564423	0.004811585	0.0545625	127.0	323.39937806129456	0.0	0.1875	0.0	0.0	0.0
15	30.553665	11.837115	83.06835	16.191093	500.0	6.6218867	1.7645338	7.9254627	0.32948688	256000	7.450581e-09	8.283495	-0.0069092405	-0.37308565	1.3564423	0.00700002	0.0655625	127.0	344.1450891494751	0.0	0.03125	0.0	0.0	0.0
16	27.405252	7.7560873	44.177616	13.140343	500.0	7.238982	1.6239462	8.388189	0.4941591	272000	-1.21071935e-08	4.7172594	-0.0077938866	-0.5658994	1.3564423	0.004764894	0.0555	127.0	362.79789662361145	0.0	0.0	0.0	0.0	0.0
17	30.110798	7.0850296	50.311047	16.626226	500.0	6.661984	1.4783632	7.7737694	0.62687385	288000	-7.450581e-09	3.4704518	-0.008997021	-0.1734539	1.3564423	0.0073458413	0.0640625	127.0	384.3899669647217	0.0	0.0625	0.0	0.0	0.0
18	34.17576	6.200818	44.65051	24.23612	500.0	7.0310445	1.4213775	7.9750133	1.4880118	304000	-1.4901161e-08	3.1995187	-0.009271088	-0.70976955	1.3564423	0.007242746	0.070374995	127.0	405.8956356048584	0.0	0.0	0.0	0.0	0.0
19	33.996178	6.530424	46.51969	23.178337	500.0	7.799285	1.6621279	8.861527	0.63705605	320000	-5.5879354e-09	2.9115145	-0.0077004544	-0.11629791	1.3564423	0.0060606	0.0555	127.0	426.7293586730957	0.0	0.03125	0.0	0.0	0.0
