Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16616067	0.13603885	0.6463101	0.024365146	500.0	0.29060557	0.016723152	0.36013025	0.23607597	16000	-8.568168e-08	0.04761789	-0.008615619	-0.045078963	1.3564423	0.0069598774	0.078999996	127.0	21.814762592315674	0.0	0.0	0.0	0.0	0.0
1	0.23943016	0.24422541	1.2614261	0.028133268	500.0	0.09781511	0.043505743	0.22191085	0.008944996	32000	3.5390258e-08	0.0033900475	-0.006314274	-0.0014591	1.3564423	0.006533309	0.054625	127.0	40.77064824104309	0.0	0.0	0.0	0.0	0.0
2	0.33905637	0.30741957	1.3878295	0.045145046	500.0	0.085556075	0.033533685	0.17714883	0.019320313	48000	-2.6077032e-08	0.004184422	-0.0057804324	-0.0009934721	1.3564423	0.005273044	0.0591875	127.0	61.39410758018494	0.0	0.0	0.0	0.0	0.0
3	0.44105816	0.3798444	1.5035862	0.09571709	500.0	0.09267401	0.025118494	0.15410027	0.03925109	64000	3.7252903e-08	0.0050315997	-0.0053935056	-0.001281458	1.3564423	0.0064940485	0.0516875	127.0	85.95747518539429	0.0	0.0	0.0	0.0	0.0
4	1.3074665	1.228065	5.772896	0.22524247	500.0	0.11904483	0.024445396	0.19432686	0.04505747	80000	7.450581e-09	0.07999318	-0.0056311577	-0.03355911	1.3564423	0.0068649487	0.053999998	127.0	109.78490161895752	0.0	0.0	0.0	0.0	0.0
5	1.0539644	1.0882294	5.787511	0.13645506	500.0	0.26044366	0.06672842	0.40681425	0.05152051	96000	1.8626451e-09	0.047811303	-0.0071763936	-0.012584391	1.3564423	0.0079861125	0.087437496	127.0	134.3903124332428	0.0	0.0	0.0	0.0	0.0
6	3.1928916	3.002564	10.769918	0.28936785	500.0	0.3169737	0.12661503	0.650058	-0.056857668	112000	-1.4901161e-08	0.5558889	-0.0056142136	-0.29261804	1.3564423	0.00559681	0.0656875	127.0	163.38538217544556	0.0	0.0	0.0	0.0	0.0
7	7.0154552	6.5851965	23.63938	0.63154066	500.0	0.89977115	0.43575975	1.9646753	-0.29045767	128000	3.1664968e-08	2.6023724	-0.006603097	-1.0649631	1.3564423	0.0067830784	0.080875	127.0	186.78739547729492	0.0	0.0	0.0	0.0	0.0
8	12.2419	7.42474	29.221073	2.1933742	500.0	1.9410161	1.0305179	4.098184	-0.7787095	144000	3.7252903e-08	3.5920973	-0.0066891154	-1.7950389	1.3564423	0.006758254	0.0755625	127.0	204.73850274085999	0.0	0.0625	0.0	0.0	0.0
9	17.610283	7.321972	34.368423	3.9295673	500.0	3.57642	1.7520971	6.6030946	-1.4094985	160000	2.4214387e-08	3.1822395	-0.007680875	-1.0399663	1.3564423	0.0075584985	0.0788125	127.0	223.46119499206543	0.0	0.0	0.0	0.0	0.0
