Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.0803334	0.044245064	0.20789805	0.022058561	500.0	0.31911826	0.02424412	0.40891194	0.2614338	16000	5.699694e-07	0.063109964	-0.008589158	-0.05990655	1.3564423	0.0075123254	0.085625	127.0	22.558900356292725	0.0	0.0	0.0	0.0	0.0
1	0.08897457	0.054443352	0.27315986	0.0191583	500.0	0.10336444	0.052359626	0.23060343	-0.017018618	32000	-8.381903e-09	0.004237028	-0.0065421164	-0.003704349	1.3564423	0.006307321	0.060375	127.0	45.054683446884155	0.0	0.0	0.0	0.0	0.0
2	0.08784324	0.04966183	0.25597104	0.0291821	500.0	0.06141042	0.042057827	0.17155555	-0.027263787	48000	-5.5413693e-08	0.0013420798	-0.007271626	-0.0009739292	1.3564423	0.0058748843	0.062625	127.0	65.56855034828186	0.0	0.0	0.0	0.0	0.0
3	0.09746462	0.050455015	0.21275	0.028874977	500.0	0.047261283	0.024371034	0.119404435	-0.015467258	64000	5.5879354e-09	0.00062246795	-0.008194902	-0.0004334142	1.3564423	0.0048319944	0.06631251	127.0	84.93620157241821	0.0	0.0	0.0	0.0	0.0
4	0.15817122	0.079570934	0.40499696	0.04589365	500.0	0.03898474	0.014731593	0.09268008	0.0025865138	80000	2.2351742e-08	0.00040642894	-0.008951534	-0.00018795463	1.3564423	0.008036673	0.08081251	127.0	106.1214816570282	0.0	0.0	0.0	0.0	0.0
5	0.1375621	0.076014444	0.3635697	0.04151203	500.0	0.03826418	0.012114576	0.07683326	0.008477192	96000	-1.3038516e-08	0.00022497251	-0.011397984	-6.512109e-05	1.3564423	0.0093562035	0.108062506	127.0	128.48070001602173	0.0	0.0	0.0	0.0	0.0
6	0.4508342	0.3106204	1.3073715	0.056288965	500.0	0.04271965	0.012774371	0.08041857	0.010384347	112000	2.6077032e-08	0.0067156195	-0.0056971484	-0.0037654173	1.3564423	0.0068708523	0.062062502	127.0	151.2394506931305	0.0	0.0	0.0	0.0	0.0
7	1.0025674	0.73186386	2.6031559	0.06614906	500.0	0.10987617	0.035494078	0.18807259	0.001539126	128000	0.0	0.04033864	-0.0063881357	-0.01821236	1.3564423	0.0063794395	0.06175	127.0	173.0927608013153	0.0	0.0	0.0	0.0	0.0
8	2.0584111	1.3757662	5.8441315	0.12922508	500.0	0.25077403	0.10597395	0.45898184	-0.08053199	144000	-1.4901161e-08	0.15651385	-0.004639945	-0.07852884	1.3564423	0.005947968	0.0559375	127.0	195.8048894405365	0.0	0.0	0.0	0.0	0.0
9	3.6567938	3.3968801	14.91018	0.84140486	500.0	0.5356947	0.2399626	1.0352936	-0.24865977	160000	2.2351742e-08	0.7457462	-0.0056459866	-0.29447305	1.3564423	0.00788008	0.0754375	127.0	218.14353680610657	0.0	0.0	0.0	0.0	0.0
10	8.705938	5.20266	21.501469	1.0030702	500.0	1.1591796	0.6179565	2.4706075	-0.27450132	176000	7.450581e-09	2.6903424	-0.0058557224	-1.3542116	1.3564423	0.006240394	0.073062494	127.0	240.7018015384674	0.0	0.0	0.0	0.0	0.0
11	9.678337	5.7412906	24.360699	0.6637825	500.0	2.4524457	1.4164774	4.9490247	-1.0397997	192000	-1.0244548e-08	2.0792143	-0.0077432254	-0.3470972	1.3564423	0.006274523	0.0904375	127.0	261.5195686817169	0.0	0.0	0.0	0.0	0.0
12	11.594381	6.187569	24.330297	0.9512354	500.0	3.0210552	1.6326389	5.481146	-0.49408922	208000	-1.4901161e-08	2.5667586	-0.0063752476	-0.314511	1.3564423	0.0056925127	0.0686875	127.0	284.34873056411743	0.0	0.03125	0.0	0.0	0.0
