Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.07718228	0.044447277	0.20125139	0.022810047	500.0	0.3255946	0.024709284	0.41637012	0.2685227	16000	2.2538006e-07	0.06628043	-0.008563265	-0.06288829	1.3564423	0.0071899695	0.082875	127.0	23.40862250328064	0.0	0.0	0.0	0.0	0.0
1	0.09138027	0.054562528	0.26894394	0.019199142	500.0	0.10479812	0.05222277	0.23449129	-0.01725909	32000	2.7008355e-08	0.0043430235	-0.0064534023	-0.0037899879	1.3564423	0.0066227643	0.0611875	127.0	41.1173255443573	0.0	0.0	0.0	0.0	0.0
2	0.081824414	0.047966655	0.25691202	0.029811617	500.0	0.061591096	0.042472817	0.17608647	-0.024161717	48000	-4.284084e-08	0.0013514712	-0.007817868	-0.0009890179	1.3564423	0.0058956016	0.0658125	127.0	61.23570680618286	0.0	0.0	0.0	0.0	0.0
3	0.09307115	0.047333024	0.20333917	0.026323877	500.0	0.047720246	0.025881449	0.1229565	-0.015929157	64000	2.4214387e-08	0.00067574845	-0.008013565	-0.00048638554	1.3564423	0.0051836516	0.0623125	127.0	81.54184293746948	0.0	0.0	0.0	0.0	0.0
4	0.14788279	0.082283065	0.47942352	0.046661057	500.0	0.037379153	0.0145922415	0.09137891	0.002425462	80000	1.8626451e-08	0.00043762696	-0.008593854	-0.00018942414	1.3564423	0.00795361	0.0748125	127.0	101.31303644180298	0.0	0.0	0.0	0.0	0.0
5	0.12408745	0.059406918	0.31711277	0.052157186	500.0	0.03623549	0.01127849	0.071530834	0.0045155063	96000	2.6077032e-08	0.00021314263	-0.011612387	-8.3949606e-05	1.3564423	0.010052878	0.110437505	127.0	122.22256207466125	0.0	0.0	0.0	0.0	0.0
6	0.3180884	0.19647737	0.7932036	0.07182527	500.0	0.039286766	0.011649826	0.072265476	0.012011401	112000	-2.6077032e-08	0.0021033299	-0.008027185	-0.0011289739	1.3564423	0.0074150716	0.073125005	127.0	141.90019726753235	0.0	0.0	0.0	0.0	0.0
7	0.5854132	0.4117146	2.035631	0.056046292	500.0	0.07973764	0.022808501	0.13175532	0.0028133094	128000	-3.7252903e-09	0.009142967	-0.0063470434	-0.0030809424	1.3564423	0.0069456045	0.0720625	127.0	161.64645266532898	0.0	0.0	0.0	0.0	0.0
8	0.9479625	0.60928255	2.7638261	0.28791118	500.0	0.1459359	0.02737617	0.23934163	0.0056759343	144000	2.6077032e-08	0.019066434	-0.0065129157	-0.0074941115	1.3564423	0.0052291322	0.053375	127.0	181.9386076927185	0.0	0.0	0.0	0.0	0.0
9	1.4327779	1.1199688	5.8438725	0.31077886	500.0	0.2466466	0.0797793	0.45713964	-0.04392883	160000	7.450581e-09	0.05567687	-0.006009222	-0.025100712	1.3564423	0.005117757	0.0571875	127.0	201.79100370407104	0.0	0.0	0.0	0.0	0.0
