Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.16483763	0.13701908	0.6791793	0.021307813	500.0	0.050599366	0.018742314	0.13082744	-0.0038032942	16000	1.8626451e-08	0.0013377797	-0.007099807	-0.0007142906	1.3564423	0.0059916847	0.062625006	127.0	22.10154151916504	0.0	0.0	0.0	0.0	0.0
1	0.25260818	0.18831123	0.7504936	0.031832583	500.0	0.040333916	0.014437101	0.11294979	0.0010152459	32000	3.7252903e-09	0.0015179812	-0.0068848347	-0.000551497	1.3564423	0.008649211	0.0804375	127.0	42.00721597671509	0.0	0.0	0.0	0.0	0.0
2	0.35360777	0.26606148	1.2916249	0.057145577	500.0	0.05692113	0.021207346	0.12105106	-0.013528846	48000	6.519258e-09	0.0023719035	-0.009131403	-0.0008522793	1.3564423	0.009365639	0.1108125	127.0	60.6450936794281	0.0	0.0	0.0	0.0	0.0
3	0.5401423	0.24609508	1.1635289	0.12993671	500.0	0.089928254	0.033167593	0.16867359	-0.0021387637	64000	3.7252903e-09	0.002609698	-0.010035589	-0.00079809513	1.3564423	0.008958502	0.09568749	127.0	78.55951476097107	0.0	0.0	0.0	0.0	0.0
4	0.95940113	0.514327	2.2239392	0.25772363	500.0	0.15383017	0.03903105	0.27324492	0.04276657	80000	1.4901161e-08	0.016039038	-0.007786542	-0.006678121	1.3564423	0.007215601	0.071875	127.0	97.3863320350647	0.0	0.0	0.0	0.0	0.0
5	1.2947974	0.73268914	4.0422235	0.3599571	500.0	0.2209618	0.06734022	0.4099227	0.042135693	96000	1.1175871e-08	0.019481553	-0.0083754035	-0.0071622133	1.3564423	0.00718877	0.0885625	127.0	118.26717209815979	0.0	0.0	0.0	0.0	0.0
6	2.3337035	3.0579894	16.35156	0.36164087	500.0	0.3126676	0.1258385	0.75286716	0.05916929	112000	2.9802322e-08	0.40764672	-0.004803307	-0.19090983	1.3564423	0.006320403	0.0808125	127.0	138.76310062408447	0.0	0.0	0.0	0.0	0.0
7	6.332836	5.3665066	20.202389	0.39698488	500.0	0.95904297	0.6867398	2.7192707	-0.26992887	128000	2.7939677e-08	1.2843957	-0.0073126284	-0.508277	1.3564423	0.0071690166	0.078250006	127.0	172.20716047286987	0.0	0.0	0.0	0.0	0.0
8	11.06744	8.1433935	26.598484	0.86830044	500.0	1.8630267	1.325059	4.6515207	-0.77574027	144000	1.8626451e-08	2.63873	-0.006630865	-1.1146677	1.3564423	0.0076461737	0.083625	127.0	200.57088565826416	0.0	0.0	0.0	0.0	0.0
9	13.911652	8.908856	33.86986	0.8267301	500.0	3.1881108	1.8323578	6.4237223	-0.67256635	160000	0.0	2.6903887	-0.008255255	-0.41404468	1.3564423	0.0084896255	0.09200001	127.0	220.54478907585144	0.0	0.03125	0.0	0.0	0.0
